着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
1,2,2,クリアミッション,牡3,56,大庭,01:20.4,,5,9.4,37,12月9日,美浦土田,506(+2)
2,1,1,エストラード,牡3,56,江田照,01:20.4,アタマ,4,8.3,37.3,8月7日,美浦武市,478(+2)
3,5,9,マッチャパフェ,牝3,54,武藤,01:20.4,アタマ,6,10.5,38.2,1月1日,美浦林,446(-4)
4,3,4,コルニリア,牡3,56,嘉藤,01:20.6,3月4日,9,19.3,38.1,3月3日,美浦大和田,440(+2)
5,7,12,ローズオブシャロン,牝3,54,石橋脩,01:20.6,クビ,3,7.3,38.2,2月2日,美浦大竹,458(0)
6,3,5,バーンパッション,牡3,56,大野,01:20.7,クビ,10,20.2,37.1,12月11日,美浦中川,468(+2)
7,6,10,ユタカサン,牡3,56,吉田豊,01:20.7,アタマ,8,17.4,37.9,3月5日,美浦竹内,486(+8)
8,4,7,サイモンバトラー,牡3,56,田辺,01:20.7,ハナ,7,15,37.4,9月9日,美浦矢野,462(+12)
9,4,6,コパノラクラク,牝3,54,宮崎,01:20.8,1月2日,12,97.2,38,6月5日,美浦和田勇,442(+4)
10,8,14,コーラルティアラ,牝3,54,横山典,01:20.8,アタマ,1,3.4,37.3,9月11日,美浦和田勇,460(-2)
11,2,3,ストームファルコン,牡3,56,Ｍデム,01:20.9,3月4日,2,4.4,37.1,14-14,美浦水野,472(+2)
12,8,15,マサノゴールデン,牝3,54,北村宏,01:21.4,3,11,31.4,38.9,3月3日,美浦木村,476(-18)
13,5,8,マインレッド,牝3,54,菅原隆,01:23.1,大,15,451.2,40,6月7日,美浦小野,436(+8)
14,6,11,アイアンカレン,牝3,54,丹内,01:23.7,3.1/2,13,271.9,40.1,9月11日,美浦青木,408(+2)
15,7,13,サンテンプル,牝3,53,☆野中,01:26.2,大,14,389.3,40,15-15,美浦伊藤伸,418(-6)
1,8,16,エヴァジョーネ,牝3,54,武豊,01:27.2,,3,8,37.7,2月2日,栗東安田翔,428(0)
2,3,6,ラブアドベンチャー,牝3,54,横山典,01:27.3,1月2日,4,12.9,38,1月1日,美浦尾関,468(0)
3,1,1,ヴィエントアスール,牡3,56,ルメー,01:27.3,クビ,2,4.2,37.7,5月5日,栗東鈴木孝,470(0)
4,6,11,ムーンダイアローグ,牡3,56,ミナリ,01:27.6,2,6,20.4,37.2,9月8日,美浦矢野,436(0)
5,5,9,キアナポラリス,牝3,54,柴田善,01:28.2,3.1/2,8,67.1,37.6,11月11日,美浦国枝,432(0)
6,5,10,ジャックオレンジ,牡3,55,☆野中,01:28.2,アタマ,7,37.6,38.2,7月7日,美浦武井,482(0)
7,4,7,ワンチーム,牡3,54,△木幡育,01:28.4,1.1/4,9,78.7,39,2月2日,美浦清水英,458(0)
8,7,13,マテンロウヴァモス,牡3,56,マーフ,01:28.6,1.1/2,1,1.6,39.1,2月2日,栗東藤原英,512(0)
9,2,3,エメラルディ,牝3,54,横山和,01:29.7,7,5,16.2,40,5月5日,美浦勢司,484(0)
10,6,12,ウインオーサム,牡3,56,松岡,01:29.7,クビ,11,105.2,39.3,9月8日,美浦中舘,462(0)
11,8,15,ジニービーチ,牝3,54,丹内,01:29.7,ハナ,13,153.6,39.3,8月8日,美浦上原,480(0)
12,2,4,ベルダリーター,牝3,54,嘉藤,01:30.4,4,10,79.8,38.3,15-15,美浦水野,466(0)
13,4,8,サンディロン,牝3,54,田中勝,01:30.5,クビ,14,163.9,38.7,14-13,美浦宗像,426(0)
14,7,14,ツウカイヴィータ,牝3,54,石川,01:30.8,1.3/4,12,108.7,39.1,11月13日,美浦高橋裕,454(0)
15,3,5,マリノエヴァ,牝3,54,菅原隆,01:31.5,4,16,325.1,40.5,11月12日,美浦的場,426(0)
16,1,2,エクセルチェイサー,牡3,56,村田,01:34.7,大,15,274.9,41.1,16-16,美浦天間,486(0)
1,6,12,シゲルミカヅキ,牡3,56,ルメー,01:39.5,,1,3.1,38.2,4月4日,美浦伊藤圭,452(+4)
2,4,8,ハイエストエンド,牡3,56,田辺,01:39.6,1月2日,3,6.4,38.5,2月2日,美浦小西,500(-6)
3,8,16,クロッチ,セ3,56,丹内,01:39.6,クビ,13,90.1,38.4,4月4日,美浦杉浦,458(-12)
4,2,4,ハットルヴァン,牡3,56,大野,01:39.9,1.3/4,5,8.4,38.2,8月9日,美浦菊沢,496(-6)
5,7,14,リンガスウォリアー,牡3,56,石川,01:40.0,クビ,10,45,38.3,10月9日,美浦中舘,476(+10)
6,1,1,キンブレル,牡3,56,武豊,01:40.0,クビ,4,7,39,1月1日,美浦矢野,466(0)
7,4,7,ベルウッドヨウサン,セ3,56,北村宏,01:40.1,1月2日,12,69.9,39,2月2日,美浦中舘,476(-20)
8,5,10,ワンモアエフォート,牡3,56,横山和,01:40.2,3月4日,6,10.9,37.3,16-16,美浦勢司,490(+6)
9,5,9,リュードマン,牡3,56,横山典,01:40.3,1月2日,7,20.9,38.8,6月6日,美浦中川,470(+2)
10,3,6,アナザーチャンス,牡3,56,江田照,01:40.3,クビ,14,104.3,38.8,6月6日,美浦小笠,452(+8)
11,3,5,グラスディアブロ,牡3,56,ミナリ,01:40.6,2,9,41.6,38.6,14-13,美浦手塚,460(-4)
12,8,15,トーセンスプリント,牡3,56,柴田善,01:40.8,1.1/4,11,64,38.1,15-15,美浦小野,472(-2)
13,6,11,セイプレシャス,牝3,53,☆菊沢,01:41.1,1.3/4,16,289.1,39.3,10月9日,美浦浅野,420(-2)
14,7,13,リュウノチョッパー,牡3,56,松岡,01:41.3,1.1/4,8,23.2,39.8,8月6日,美浦伊藤伸,460(-8)
15,2,3,フジコウキ,牡3,55,☆野中,01:41.5,1.1/4,15,112.8,39.8,10月9日,美浦高市,464(0)
16,1,2,オプティマス,牡3,56,マーフ,01:41.8,2,2,4.4,39.8,13-13,美浦国枝,478(+4)
1,7,9,ロンゴノット,牡3,56,武豊,01:37.4,,2,2.7,37.2,1月1日,美浦高柳瑞,486(-2)
2,8,10,ラブリーエンジェル,牝3,54,武藤,01:37.7,2,8,19.9,37.4,2月2日,美浦堀井,432(0)
3,2,2,タイセイポリシー,牡3,56,内田博,01:38.0,2,6,17.6,36.4,8月8日,美浦栗田,488(+6)
4,6,7,ニシノレオニダス,牡3,56,松岡,01:38.0,ハナ,5,14.4,37.2,5月4日,美浦中舘,514(+6)
5,7,8,ケンシンコウ,牡3,56,丸山,01:38.1,1月2日,3,12.7,36.1,10月10日,美浦小西,472(-2)
6,4,4,フリーフロー,牡3,56,大野,01:38.2,1月2日,7,18.7,36.9,7月6日,美浦宗像,478(-6)
7,1,1,サンライズラポール,牡3,56,ルメー,01:38.5,1.3/4,1,2.2,37.9,3月3日,栗東平田,496(0)
8,6,6,ジャッジ,牡3,56,北村宏,01:38.5,ハナ,4,13.8,36.9,8月8日,美浦和田雄,488(+8)
9,3,3,ケイツーキナ,牝3,52,△木幡育,01:39.1,3.1/2,11,184.2,37.8,5月6日,美浦大江原,466(+2)
10,8,11,エウロパ,牝3,54,木幡巧,01:39.7,3.1/2,9,28.1,38.7,4月5日,美浦尾形,464(+10)
11,5,5,アジュバント,牡3,56,吉田豊,01:40.6,5,10,58.9,38.3,11月11日,美浦上原,454(0)
1,7,14,ラキャラントシス,牝3,54,津村,01:36.5,,5,14.8,34.7,1月1日,美浦鈴木伸,480(-2)
2,4,8,スピードオブラブ,牝3,54,北村宏,01:36.6,1月2日,2,5.1,34.2,5月5日,美浦中川,436(-2)
3,8,15,ロジアイリッシュ,牝3,54,ルメー,01:36.8,1,4,8.8,33.9,11月11日,美浦国枝,494(-6)
4,2,3,タイキスウォード,牡3,56,マーフ,01:36.9,1月2日,1,2,34.6,5月5日,美浦高橋祥,450(0)
5,4,7,オメガエリタージュ,牡3,56,武豊,01:36.9,ハナ,3,5.9,34.7,4月3日,美浦斎藤誠,448(0)
6,1,2,トランペットシェル,牡3,56,柴田善,01:37.0,3月4日,7,19.9,34.9,3月3日,美浦大江原,494(-4)
7,7,13,ボウイッシュ,牝3,54,武藤,01:37.3,2,8,23.4,34.7,8月8日,美浦戸田,430(-8)
8,3,5,レリスタット,牝3,54,石橋脩,01:37.3,クビ,9,52,34.4,11月11日,美浦奥村武,442(+2)
9,3,6,ココニアル,牝3,54,大野,01:37.3,アタマ,10,54.9,34.3,11月11日,美浦和田勇,444(+8)
10,6,11,カミノホウオー,牡3,55,☆野中,01:37.6,2,11,90.7,35.6,2月2日,美浦竹内,510(+14)
11,5,9,リネンミッション,牝3,54,丹内,01:37.6,クビ,13,303.9,34.9,9月8日,美浦南田,412(-14)
12,8,16,デルマアメジスト,牝3,54,江田照,01:37.7,1月2日,14,397.5,35.3,5月5日,美浦蛯名,448(-8)
13,5,10,エフティクルーク,牡3,56,伊藤,01:37.8,3月4日,6,15.1,34.6,14-14,美浦金成,458(-6)
14,1,1,ワイルドブリット,牡3,56,井上,01:38.6,5,16,529.9,36,9月8日,美浦根本,450(+8)
15,6,12,サンバーバンク,牝3,52,△木幡育,01:38.6,クビ,15,508.7,35.1,16-16,美浦粕谷,418(0)
16,2,4,ジャジャウマ,牝3,53,☆菊沢,01:39.0,2.1/2,12,250.6,35.7,14-15,美浦深山,420(+12)
1,5,5,ダノングロワール,牡3,56,マーフ,02:26.5,,1,2.2,33.8,1-1-1-1,美浦国枝,488(-4)
2,2,2,リスペクト,牡3,56,ルメー,02:27.2,4,2,3.4,34.2,4-3-3-3,美浦奥村武,468(+6)
3,7,9,ホウオウハルカス,牡3,56,松岡,02:27.7,3,3,3.6,34.5,5-5-5-4,美浦斎藤誠,470(-6)
4,5,6,ブレーナード,牡3,56,ミナリ,02:28.0,1.3/4,4,17.9,34.8,5-5-5-4,美浦高橋祥,434(-2)
5,3,3,セイウンノワール,牝3,54,田中勝,02:28.9,5,6,28.3,35.5,8-7-7-7,美浦尾形,510(0)
6,4,4,インディードシチー,牡3,56,吉田豊,02:29.2,1.3/4,11,176.9,35.7,9-9-7-7,美浦上原,502(+10)
7,1,1,トロピカルビーチ,牝3,54,丹内,02:29.5,2,8,37.3,36,5-7-7-7,美浦和田雄,422(+2)
8,6,7,カガジャスティス,牡3,56,岩部,02:29.6,クビ,7,32,36.5,2-3-3-4,美浦萱野,512(-2)
9,8,11,エアリアルシティー,牡3,56,江田照,02:29.7,3月4日,10,115.8,35.9,12-12-12-10,美浦石毛,472(-8)
10,7,10,クリノファイヤー,牝3,54,柴田善,02:30.3,3.1/2,9,47.4,37.4,2-2-2-2,美浦本間,462(0)
11,8,12,フィジーマジック,牡3,54,△木幡育,02:30.6,2,12,289.4,36.7,9-10-10-11,美浦加藤和,438(+4)
12,6,8,ワイルドフレーズ,牡3,56,石川,02:31.1,3,5,20.7,36.7,11-11-11-12,美浦黒岩,476(+4)
1,1,2,シセイタケル,牡5,57,マーフ,01:24.9,,1,3.3,36.9,3月2日,美浦高橋文,472(+2)
2,5,10,ポップアップスター,牡6,57,ルメー,01:25.1,1,2,3.6,36.3,8月10日,美浦金成,534(+14)
3,2,3,クワトロダッシュ,牡5,57,木幡巧,01:25.2,1月2日,7,29.7,37,5月4日,美浦牧,490(0)
4,6,11,ディナミーデン,牡5,57,田辺,01:25.3,3月4日,5,7.7,36,14-14,美浦田島,480(-4)
5,8,16,フジノタカネ,牡4,57,武豊,01:25.4,3月4日,4,6.8,36.7,8月7日,美浦手塚,520(-4)
6,7,13,ハルメキ,牝5,53,△木幡育,01:25.5,3月4日,3,5.6,37.3,3月4日,美浦深山,454(+2)
7,2,4,チャンダナ,牝4,55,津村,01:25.6,3月4日,12,125.4,37.8,1月1日,美浦粕谷,474(-2)
8,8,15,ラブインブルーム,牝4,54,☆菊沢,01:26.1,3,13,173.3,36.4,16-16,美浦萱野,416(-34)
9,4,7,ロードシュタルク,牡4,57,武藤,01:26.4,1.3/4,11,59.3,37.8,7月7日,美浦高柳瑞,448(+8)
10,6,12,テキーラ,牡4,57,横山和,01:26.4,ハナ,15,213.1,38.4,2月2日,美浦勢司,538(+15)
11,3,6,ヤマチョウヴォイス,牡4,57,石川,01:26.5,1月2日,14,203.3,37.8,8月7日,美浦相沢,458(+6)
12,3,5,ストームウォリアー,セ4,57,北村宏,01:26.8,1.3/4,8,31.5,38.3,5月6日,美浦中川,488(-5)
13,4,8,ライクトゥシャイン,牡4,57,大野,01:27.0,1.1/2,9,37.1,37.7,14-14,美浦小笠,440(-6)
14,7,14,マノアフォールズ,牡4,57,松岡,01:27.4,2.1/2,6,16.1,38.4,11月11日,美浦斎藤誠,470(+10)
15,1,1,ジュンノサップ,牡4,57,内田博,01:27.6,1.1/4,10,40.7,38.6,11月11日,美浦畠山,484(-4)
16,5,9,クリーンガーベラ,牝4,54,☆野中,01:27.8,1.1/4,16,345.5,38.7,11月11日,美浦鈴木伸,456(-14)
1,8,15,アイファーキングズ,牡4,56,マーフ,02:11.3,,1,2.3,36.2,7-3-4-3,栗東鮫島,490(-2)
2,4,7,ヴォウジラール,牡5,57,ルメー,02:11.3,ハナ,2,4.2,36.1,7-7-6-5,美浦尾関,530(0)
3,4,8,サクラアリュール,牡5,57,北村宏,02:11.6,1.1/2,3,5,36.3,13-12-6-7,栗東村山,470(-2)
4,5,9,ヴィジョンオブラヴ,牡5,57,Ｍデム,02:12.3,4,6,15.9,36.6,16-16-6-11,美浦新開,502(+6)
5,3,6,トモノコテツ,牡5,57,武豊,02:12.6,2,4,13.2,37.3,4-3-6-7,栗東浜田,474(-2)
6,3,5,スピンドクター,セ5,57,ミナリ,02:12.6,クビ,5,15.7,37.1,14-15-10-9,栗東野中,456(-18)
7,7,13,インザバブル,牡7,57,木幡巧,02:12.6,ハナ,13,74.8,37.6,2-2-2-2,美浦新開,506(-4)
8,6,12,フーズサイド,牡4,56,武士沢,02:12.8,3月4日,8,43.6,36.8,14-14-15-15,美浦堀井,490(+2)
9,1,2,ゴールデンライオン,牡4,56,内田博,02:12.9,1月2日,14,102.6,36.8,12-13-16-15,栗東川村,488(-6)
10,2,3,アルデエンブレム,牡4,56,宮崎,02:13.1,1.1/4,10,47.4,37.9,4-3-5-5,栗東清水久,478(-4)
11,7,14,シティーオブスター,牡4,56,津村,02:13.3,1.1/2,7,16,37.6,9-10-10-11,美浦矢野,508(-4)
12,5,10,シンアンドケン,牡5,56,☆野中,02:13.3,クビ,9,44.6,37.6,4-7-10-11,栗東本田,486(-2)
13,1,1,ラムセスバローズ,牡5,57,丸山,02:13.4,クビ,11,62.2,37.8,11-9-10-9,美浦木村,508(+2)
14,8,16,ネコマヒカ,牡5,57,石川,02:13.6,1.1/4,16,151.5,38.5,3-3-2-3,栗東山内,524(-8)
15,6,11,シゲルポインター,牡6,55,△木幡育,02:13.8,1.1/2,15,132.7,38.9,1-1-1-1,美浦蛯名,480(0)
16,2,4,アリスカン,牡6,57,嘉藤,02:14.2,2.1/2,12,72.4,38.4,9-10-14-14,美浦田島,528(+18)
1,4,8,ロードグラディオ,牡4,57,ルメー,01:23.5,,5,10.1,36.1,7月7日,栗東西浦,486(0)
2,8,15,エテルニテ,牝5,55,柴田善,01:23.7,1.1/4,11,31.8,36.8,2月2日,栗東平田,492(-10)
3,4,7,バーンフライ,牡5,57,野中,01:23.8,1月2日,14,97.7,36.1,11月10日,栗東矢作,492(+8)
4,7,14,サザンヴィグラス,牡5,57,丸山,01:23.8,クビ,3,7.2,36.6,4月4日,美浦根本,498(+2)
5,5,10,ゴールドラグーン,牡4,57,横山典,01:24.0,1.1/4,4,8.2,37.1,2月2日,栗東斉藤崇,490(-10)
6,1,1,マイウェイアムール,牝5,55,内田博,01:24.0,アタマ,12,51,36.3,11月10日,美浦林,484(-4)
7,5,9,メイショウミライ,牡5,57,武豊,01:24.0,ハナ,2,5.6,36.5,7月7日,栗東南井,484(-8)
8,6,12,ナンヨーイザヨイ,牡4,57,石橋脩,01:24.1,3月4日,6,11.2,37,4月4日,栗東松永幹,468(-4)
9,3,6,パイルーチェ,牝6,55,横山和,01:24.1,ハナ,9,22.5,35.9,16-16,美浦鈴木伸,488(+4)
10,2,3,ハルクンノテソーロ,牡6,57,大野,01:24.4,1.3/4,8,20.7,36.5,14-13,美浦高木,476(0)
11,1,2,ラレータ,牡6,57,ミナリ,01:24.7,1.3/4,7,13.7,36.8,15-13,美浦林,480(-6)
12,3,5,コウエイアンカ,セ5,57,田中勝,01:24.8,クビ,10,27,37.1,10月10日,栗東森,480(+12)
13,7,13,マイネルバールマン,牡6,57,丹内,01:25.6,5,16,188.5,38.4,4月4日,美浦青木,546(-4)
14,6,11,カタナ,牡5,57,松岡,01:25.6,ハナ,13,51.1,37.5,11月15日,美浦上原,512(+10)
15,2,4,ペイシャネガノ,牝4,55,Ｍデム,01:25.8,1.1/4,1,3,38.3,7月7日,美浦深山,462(-2)
16,8,16,ゲキリン,牡6,57,北村宏,01:26.0,1.1/4,15,155.2,39.4,1月1日,栗東吉村,484(+2)
1,8,9,ラウダシオン,牡3,56,武豊,01:21.2,,3,5.5,33.5,1月1日,栗東斉藤崇,490(0)
2,7,7,ハーモニーマゼラン,牡3,56,大野,01:21.5,2,6,16.3,33.4,4月4日,美浦牧,510(-4)
3,1,1,ゼンノジャスタ,牡3,56,田中健,01:21.7,1.1/4,4,9.5,33.4,5月5日,栗東浅見,468(-8)
4,8,10,アブソルティスモ,牡3,56,ルメー,01:21.8,1月2日,1,2,33.3,7月7日,美浦藤沢和,502(+2)
5,4,4,シャドウブロッサム,牝3,54,Ｍデム,01:21.8,アタマ,7,19.7,33,10月9日,栗東藤岡,446(0)
6,7,8,アルムブラスト,牡3,56,マーフ,01:22.1,1.3/4,2,4,34.2,2月2日,美浦高橋文,518(+10)
7,2,2,ヴァルナ,牡3,56,横山典,01:22.3,1.1/4,5,14.4,34.4,3月2日,栗東寺島,476(-2)
8,6,6,セイウンパワフル,牡3,56,ミナリ,01:22.4,3月4日,9,69,34,5月6日,美浦斎藤誠,478(0)
9,5,5,コスモリモーネ,牡3,56,丹内,01:22.7,1.3/4,10,182.8,34.1,7月7日,美浦高橋裕,498(0)
10,3,3,プリンスチャーム,牡3,56,田辺,01:22.9,1.1/4,8,29.5,34.1,9月9日,美浦栗田,448(+2)
1,5,8,インビジブルレイズ,牡6,56,マーフ,01:59.1,,8,17.1,34.2,2007/7/5,栗東吉村,462(-6)
2,7,12,マイネルサーパス,牡4,56,丹内,01:59.2,3月4日,9,30.8,34.2,2007/7/7,美浦高木,480(-2)
3,6,9,レッドガラン,牡5,56,Ｍデム,01:59.2,クビ,5,11.9,33.7,2013/12/14,栗東安田隆,514(+4)
4,4,5,ゴーフォザサミット,牡5,57,北村宏,01:59.2,アタマ,3,6.7,34.5,2004/3/3,美浦藤沢和,508(+8)
5,8,14,アイスストーム,牡5,56,武豊,01:59.4,3月4日,4,7.2,34,14-14-12,栗東吉村,524(-6)
6,5,7,サトノワルキューレ,牝5,55,石川,01:59.5,3月4日,12,55.8,34.7,2005/5/5,栗東角居,462(+2)
7,2,2,ダイワキャグニー,牡6,58,内田博,01:59.7,1,1,3.4,35.3,2001/1/1,美浦菊沢,508(0)
8,6,10,ミライヘノツバサ,牡7,56,木幡巧,01:59.7,クビ,14,265.8,34.5,2007/9/10,美浦伊藤大,500(+2)
9,7,11,フランツ,牡5,56,ルメー,01:59.8,クビ,2,3.5,34.4,2012/12/12,栗東音無,438(+2)
10,1,1,ロードヴァンドール,牡7,57,横山和,01:59.9,1月2日,11,41,34.9,2005/5/7,栗東昆,506(-2)
11,3,4,ドミナートゥス,牡5,56,大野,01:59.9,ハナ,7,15.6,35.4,2002/2/2,栗東宮本,488(+12)
12,4,6,マイネルハニー,牡7,58,石橋脩,02:00.0,3月4日,10,31.3,35.3,2003/3/3,美浦栗田,484(+2)
13,3,3,カヴァル,牡5,56,津村,02:00.0,クビ,6,13.8,34.8,2010/9/10,美浦勢司,506(0)
14,8,13,エンジニア,牡7,56,田辺,02:00.1,1月2日,13,126.7,35,2010/9/9,美浦牧,486(+4)
1,3,5,ドナアトラエンテ,牝4,54,マーフ,01:47.2,,1,2.3,34.3,2002/2/2,美浦国枝,448(+10)
2,4,7,ミトロジー,牡4,56,丸山,01:47.5,1.3/4,4,7.7,34.4,2003/3/3,美浦尾関,486(+6)
3,6,10,マイネルミュトス,牡4,56,丹内,01:47.5,クビ,7,20.9,33.5,2013/12/13,美浦鹿戸,474(+2)
4,8,14,キタサンバルカン,牡4,56,北村宏,01:47.7,1.1/4,2,5.2,34.1,2008/9/9,美浦奥村武,440(+12)
5,7,13,カナロアガール,牝4,54,田辺,01:47.7,クビ,5,13.2,33.6,15-14-13,美浦田村,468(-2)
6,2,3,レローヴ,牝6,55,横山和,01:47.8,クビ,14,307.8,34.4,2008/6/7,美浦黒岩,510(+4)
7,5,8,イサク,牡4,56,津村,01:47.9,1月2日,3,5.9,34.6,2007/6/6,美浦岩戸,476(+2)
8,8,15,スズカノロッソ,牡5,56,☆野中,01:47.9,クビ,11,50.1,34,2012/12/12,美浦小島,494(+6)
9,4,6,シトラスクーラー,セ7,57,大野,01:48.0,1月2日,8,24.4,34.3,2008/9/10,美浦高木,458(-4)
10,6,11,コスモアイトーン,牡4,56,木幡巧,01:48.6,3.1/2,15,349.5,35.2,2003/6/7,美浦佐藤,472(+4)
11,3,4,グレンフィナン,セ5,57,ミナリ,01:48.7,1月2日,9,25.9,35.5,2003/3/3,美浦鹿戸,488(+10)
12,7,12,リーゼントシャルフ,牡6,57,松岡,01:48.7,クビ,13,295.2,35,2011/9/10,美浦林,476(0)
13,5,9,オールステリーナ,牝5,55,武藤,01:48.9,1.1/2,12,99.4,34.6,13-15-15,美浦松山,464(-34)
14,2,2,アイスブラスト,牡4,56,吉田豊,01:49.0,1月2日,6,14.5,35.8,2003/3/3,美浦戸田,490(0)
15,1,1,コスモミローディア,牡4,56,宮崎,01:49.7,4,10,43.6,36.8,2001/1/1,美浦清水英,460(+8)
1,6,11,ダイチヴィット,牡3,56,江田照,01:27.5,,6,20.7,36.7,6月6日,美浦竹内,456(+4)
2,7,13,トーセンリヤン,牡3,56,横山和,01:28.0,3,5,11.1,37.5,4月3日,美浦池上,442(-4)
3,3,5,グローサーベア,セ3,56,津村,01:28.1,3月4日,2,5.9,36.8,10月13日,美浦矢野,466(-6)
4,5,9,クァンタムリープ,牡3,54,△木幡育,01:28.3,1,7,21.3,37.9,2月2日,美浦鹿戸,474(-2)
5,2,2,ドロス,牡3,56,ルメー,01:28.3,クビ,1,1.9,37.9,1月1日,美浦新開,490(-10)
6,8,14,チェリーガイア,牝3,53,☆野中,01:28.7,2.1/2,9,73.2,38.2,2月3日,美浦小西,462(-2)
7,2,3,トーセンレビュー,牡3,56,木幡巧,01:29.0,2,10,115.2,37.9,10月8日,美浦松永康,514(0)
8,1,1,マロンジェム,牡3,56,内田博,01:29.1,1月2日,8,25.3,38.4,6月6日,美浦稲垣,488(+12)
9,4,6,フィーバス,牡3,56,ミナリ,01:29.8,4,4,7.2,39.2,4月5日,美浦田中剛,476(+8)
10,6,10,パレット,牝3,54,北村宏,01:29.8,アタマ,13,205.6,38.7,9月8日,美浦黒岩,448(+4)
11,7,12,キタノタカワシ,牡3,56,吉田豊,01:30.0,1,12,180.1,38.6,10月10日,美浦土田,458(+8)
12,5,8,エバーバリュー,牝3,54,松岡,01:30.0,クビ,15,249.9,38.2,13-14,美浦小島,386(+6)
13,4,7,キンバリープロセス,牡3,56,石橋脩,01:30.3,2,3,6,38.2,15-15,美浦手塚,490(-14)
14,8,15,スタニングビスタ,牝3,54,武藤,01:30.7,2.1/2,14,240.8,39.2,8月13日,美浦武藤,448(0)
15,3,4,ネイチャーローズ,牡3,56,井上,01:30.7,ハナ,11,155.3,39.3,10月10日,美浦根本,468(+12)
1,8,15,ヤマノマタカ,牡3,56,石川,02:16.6,,1,3.2,38.4,3-3-2-2,美浦相沢,464(-4)
2,1,1,ショウナンアクア,牡3,56,吉田豊,02:16.9,1.3/4,3,6.2,37.6,9-12-12-11,美浦古賀史,474(+2)
3,4,7,セイウンカゲロウ,牡3,56,松岡,02:17.4,3,6,11.8,38.2,7-9-9-8,美浦奥平,496(+2)
4,2,4,スウィング,牡3,56,ミナリ,02:17.4,ハナ,2,4.2,38.5,9-9-6-5,美浦高柳瑞,478(+2)
5,7,14,クラウンマハロ,牡3,54,△木幡育,02:18.4,6,9,20,38.2,14-16-15-15,美浦尾形,504(-6)
6,8,16,ディヒター,牡3,56,武藤,02:18.4,クビ,5,11.5,39.3,5-5-6-8,美浦林,518(+6)
7,7,13,グラスフレイバー,牡3,56,坂井,02:18.5,1月2日,14,69.2,40.4,2-2-2-2,美浦松永康,470(0)
8,5,10,ゲンキチボン,牡3,56,佐藤友,02:18.5,ハナ,11,48.9,38.7,14-14-14-13,美浦堀井,468(-4)
9,3,6,ソルメンシス,牡3,56,田辺,02:18.6,3月4日,4,11.4,40.2,13-8-4-4,美浦菊川,496(+8)
10,3,5,ニシノゼノビア,牝3,54,岩部,02:18.6,クビ,16,261.1,39.4,9-9-9-8,美浦萱野,458(-4)
11,6,11,キラークイーン,牝3,54,北村宏,02:19.4,5,13,53.9,40.5,9-5-4-5,美浦久保田,442(-2)
12,1,2,ユーアーマイソウル,牡3,56,嘉藤,02:19.8,2.1/2,8,17,41.7,1-1-1-1,美浦伊藤伸,488(+2)
13,4,8,ドラゴンウォリアー,牡3,56,木幡巧,02:20.4,3.1/2,7,13.4,40.8,5-5-11-12,美浦岩戸,504(0)
