着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
3,6,12,レッドヴァール,牝5,55,ルメー,01:33.8,アタマ,1,1.9,35.6,2月2日,美浦鹿戸,470(-2)
4,2,3,カンパーニャ,牡4,57,北村宏,01:33.8,アタマ,10,42.1,34.4,15-15,美浦畠山,450(+5)
5,4,7,ウエスタンランポ,牝4,54,☆菊沢,01:34.0,1.1/4,16,256.3,35.2,8月9日,美浦深山,404(-4)
6,6,11,オフウィドゥス,牡4,56,丸山,01:34.1,1月2日,3,13.4,35.2,10月14日,美浦木村,534(+8)
7,5,10,トウカイオルデン,牡5,57,大野,01:34.2,1月2日,11,47,35.2,10月11日,美浦菊川,488(+12)
8,4,8,サクステッド,セ5,57,津村,01:34.3,3月4日,6,15.2,35.6,11月7日,美浦小西,496(+14)
9,7,14,シャンデフレーズ,牝4,55,フォー,01:34.4,1月2日,7,16.6,35.7,6月7日,美浦中舘,422(+6)
10,8,16,クィーンビー,牝7,55,岩田康,01:34.6,1.1/4,15,253.5,35,16-16,美浦田中清,508(+14)
11,1,1,ダイイチターミナル,牡6,57,江田照,01:34.8,1.1/2,9,30.2,35.6,13-13,美浦高市,478(+10)
12,3,6,パラレルキャリア,牝4,55,Ｍデム,01:34.9,3月4日,4,13.8,36.4,5月5日,美浦加藤征,440(-2)
13,8,15,アイアムヒメ,牝5,55,田中勝,01:35.2,1.3/4,13,174.3,36.9,3月3日,美浦菊川,454(+2)
14,1,2,フジマサディープ,牡4,56,☆野中,01:35.3,クビ,5,14.9,37.2,1月1日,美浦菊川,500(0)
15,2,4,レーヌジャルダン,牝6,55,武藤,01:35.4,1月2日,12,95.2,36.1,11月13日,美浦高柳瑞,454(+14)
16,5,9,ボニーソックス,牝4,55,ミナリ,01:37.1,大,14,234.6,38.1,9月11日,美浦矢野,446(+3)
1,8,16,アイアムピッカピカ,牝4,55,柴田善,01:25.6,,2,4.6,36.3,3月3日,美浦奥平,452(0)
2,3,6,イベリスリーフ,牝4,55,フォー,01:25.8,1,7,13.9,36.7,1月1日,美浦中舘,458(+8)
3,7,14,スマイルプリティ,牝6,55,宮崎,01:26.0,1,16,276.6,36.8,2月2日,美浦本間,492(+10)
4,4,8,ネイビーアッシュ,牝5,55,津村,01:26.2,1.1/4,8,17.5,36.1,10月10日,美浦萩原,492(+8)
5,2,3,グレイスアン,牝4,55,福永,01:26.5,2,1,3.2,37,5月4日,美浦斎藤誠,488(-2)
6,8,15,タツオウカランブ,牝5,55,吉田豊,01:26.5,ハナ,9,39.6,36.3,12月12日,美浦古賀史,492(-2)
7,7,13,アンジェリーブル,牝4,55,横山典,01:26.5,ハナ,3,5,36,14-14,美浦藤原辰,450(-6)
8,5,9,アテンフェアリー,牝4,55,岩部,01:26.8,1.3/4,5,10.1,37,8月7日,美浦萱野,460(-4)
9,6,12,コウジンシックス,牝4,55,武藤,01:27.3,3,12,156.1,36.9,13-13,美浦和田雄,422(-18)
10,5,10,スターアイランド,牝4,55,内田博,01:27.3,ハナ,11,72.2,37.8,6月4日,美浦古賀慎,422(-1)
11,4,7,マーチャンスルー,牝4,54,☆菊沢,01:27.3,アタマ,14,185.4,37.8,3月4日,美浦堀井,436(-6)
12,6,11,ホウオウモントレー,牝4,55,丸山,01:27.5,1.1/4,4,7.3,37.6,8月7日,美浦矢野,492(-6)
13,2,4,フィリーズラン,牝4,55,木幡巧,01:27.6,1月2日,6,12.2,36.9,16-15,美浦牧,428(0)
14,3,5,コスモフェリーク,牝5,55,横山和,01:27.7,1月2日,15,204.7,37.1,14-15,美浦天間,452(+10)
15,1,1,プリティドール,牝4,54,☆野中,01:27.8,1月2日,10,43.5,38,6月7日,美浦菊川,458(-23)
16,1,2,アポロノワキザシ,牝4,55,石川,01:28.0,1.1/4,13,157.2,37.9,10月10日,美浦岩戸,470(-8)
1,8,14,ショウナンバビアナ,牝4,54,Ｍデム,01:47.3,,6,12.9,34.2,2001/1/1,美浦上原,476(0)
2,6,11,シングフォーユー,牝4,54,ルメー,01:47.3,クビ,2,4.2,34,2003/2/3,美浦牧,466(+2)
3,8,15,アストラサンタン,牝5,55,武豊,01:47.5,1,3,5.5,34,2005/4/5,美浦戸田,466(0)
4,3,4,エバーミランダ,牝5,55,岩田康,01:47.5,ハナ,11,28.9,34.1,2003/4/3,美浦久保田,434(+6)
5,7,12,ミモザイエロー,牝4,54,吉田豊,01:47.5,クビ,8,22.3,33,15-15-15,美浦戸田,458(+2)
6,6,10,アップライトスピン,牝4,54,大野,01:47.6,1月2日,1,3,33.6,2010/10/10,美浦池上,470(-4)
7,5,8,アルミレーナ,牝6,55,石橋脩,01:47.6,クビ,4,11.3,34.4,2002/2/2,美浦国枝,456(-2)
8,7,13,テンワールドレイナ,牝5,55,津村,01:47.6,ハナ,12,35.8,33.9,2007/7/7,美浦矢野,480(+4)
9,5,9,ジョブックコメン,牝5,55,田辺,01:47.8,1,9,22.4,33.7,2012/12/11,美浦小桧山,430(+4)
10,4,6,シーオブザムーン,牝4,54,丸山,01:47.8,ハナ,10,28.4,34,2007/7/7,美浦金成,460(-2)
11,1,1,アシェット,牝5,55,ミナリ,01:48.0,1.1/4,14,142.5,33.7,2012/12/13,美浦高橋文,446(0)
12,2,3,ビックピクチャー,牝4,54,福永,01:48.1,1月2日,5,12.6,34.3,2009/7/7,栗東藤原英,412(-8)
13,3,5,クリッパー,牝5,55,フォー,01:48.1,アタマ,7,18.8,34.5,2005/4/6,美浦高橋文,494(+4)
14,2,2,グラマラスライフ,牝5,55,北村宏,01:48.9,5,13,78,34.8,2010/10/11,美浦田中博,484(0)
15,4,7,モリトシラユリ,牝6,55,内田博,01:48.9,アタマ,15,158.6,34.6,14-14-13,美浦堀井,490(+4)
1,2,3,ベストアクター,セ6,55,武豊,01:20.8,,1,4.1,33.4,15-14,美浦鹿戸,454(+4)
2,2,4,チカノワール,牝6,52,田中勝,01:20.8,クビ,10,26.8,33.7,11月11日,栗東笹田,464(+2)
3,7,14,トウカイオラージュ,牡4,55,石川,01:21.0,1.1/4,4,8,35.2,2月2日,栗東長谷川,472(0)
4,5,10,フレッチア,牡5,57,ルメー,01:21.1,クビ,3,5.7,35.3,1月1日,美浦木村,496(+4)
5,6,12,シトラスノート,牝4,52,津村,01:21.1,アタマ,6,12.4,34.7,3月3日,栗東石坂正,442(-8)
6,4,7,デスティニーソング,牝6,52,野中,01:21.1,ハナ,14,61.3,34.2,9月8日,栗東松下,456(-4)
7,3,6,ペプチドバンブー,牡5,54,柴田善,01:21.3,1.1/4,12,28.4,33.6,16-16,栗東武英,510(+4)
8,1,1,ホープフルサイン,牡4,56,江田照,01:21.3,ハナ,8,23,34.2,11月11日,美浦本間,484(-6)
9,7,13,ナンヨーイザヨイ,牡4,54,石橋脩,01:21.4,1月2日,11,27.9,34.9,5月4日,栗東松永幹,468(0)
10,1,2,ムーンチャイム,牝5,54,福永,01:21.5,1月2日,5,12.3,35,3月4日,栗東千田,456(-6)
11,8,15,アンリミット,牝5,54,城戸,01:21.5,クビ,7,13.3,34.6,9月8日,栗東清水久,474(-8)
12,6,11,ミリッサ,牝6,53,武藤,01:21.6,クビ,13,33.2,34.5,11月11日,栗東石坂正,428(-4)
13,5,9,ジョーアラビカ,牡6,56,横山典,01:21.6,アタマ,2,4.5,35,6月6日,栗東清水久,492(0)
14,4,8,ショウナンタイガ,牡4,55,吉田豊,01:21.8,1.1/4,9,25.2,35,6月7日,栗東池添兼,480(-10)
15,8,16,ウインフェニックス,牡9,55,フォー,01:22.0,1.1/2,15,63.9,34.6,14-14,美浦奥平,490(0)
16,3,5,マイネルバールマン,牡6,55,内田博,01:22.3,1.3/4,16,227.2,35.4,6月8日,美浦青木,540(-6)
1,1,1,ミヤマザクラ,牝3,54,福永,01:34.0,,2,3.8,34.3,2月2日,栗東藤原英,464(+4)
2,6,9,マジックキャッスル,牝3,54,フォー,01:34.0,クビ,4,5.8,33.4,10月13日,美浦国枝,430(+2)
3,4,5,セイウンヴィーナス,牝3,54,野中,01:34.1,3月4日,12,265.5,34.1,4月6日,美浦本間,446(0)
4,6,10,アカノニジュウイチ,牝3,54,横山典,01:34.3,1.1/4,5,7.8,33.6,14-14,美浦尾関,448(+10)
5,4,6,シャンドフルール,牝3,54,武豊,01:34.4,クビ,6,11.3,34.3,7月7日,栗東松永幹,494(-4)
6,7,12,ホウオウピースフル,牝3,54,田辺,01:34.6,1.1/4,3,4.3,34.5,7月7日,美浦大竹,476(+12)
7,8,13,チアチアクラシカ,牝3,54,吉田豊,01:34.7,3月4日,8,59.2,34.3,11月13日,美浦堀井,494(-4)
8,5,8,サナチャン,牝3,54,武士沢,01:34.7,クビ,11,236.3,34.5,9月9日,美浦武藤,420(-12)
9,7,11,アールクインダム,牝3,54,北村宏,01:34.8,1月2日,9,67.6,34.9,4月4日,美浦伊藤大,468(-4)
10,3,3,ルナシオン,牝3,54,ルメー,01:34.9,クビ,1,3.5,34.6,10月9日,美浦藤沢和,458(+8)
11,3,4,アミークス,牝3,54,岩田康,01:35.4,3,7,23.5,35.5,4月4日,美浦栗田,450(+8)
12,5,7,ヤマニンプレシオサ,牝3,54,江田照,01:35.4,アタマ,13,316.2,35,10月11日,美浦星野,462(-8)
13,2,2,メルテッドハニー,牝3,54,柴田善,01:35.5,1月2日,14,449.3,35.7,2月2日,美浦大江原,398(+2)
14,8,14,インザムービー,牝3,54,石橋脩,01:35.8,1.3/4,10,105.4,38.1,1月1日,栗東牧田,468(-12)
1,3,6,トラストロン,牝5,55,吉田豊,01:24.1,,5,11.7,36.5,9月7日,美浦高橋文,452(+8)
2,4,8,フクノグリュック,牡8,57,横山和,01:24.4,1.3/4,12,48.4,36,14-14,美浦杉浦,522(+2)
3,2,4,オールウェイズゼア,牡6,56,☆野中,01:24.4,クビ,9,29.1,36.2,12月13日,美浦高市,486(0)
4,7,14,ミスパイロ,牝6,55,石橋脩,01:24.6,1,3,4.3,36,15-15,美浦小野,486(-4)
5,5,9,ケイアイビリジアン,牡4,57,大野,01:24.6,ハナ,4,6,37.3,4月4日,美浦奥平,522(+6)
6,6,11,プタハ,牡5,57,岩田康,01:24.6,クビ,1,4,36.8,9月10日,美浦斎藤誠,532(+2)
7,8,16,クリムズンフラッグ,牡5,57,木幡巧,01:24.8,3月4日,6,11.9,37.3,8月7日,美浦青木,536(0)
8,5,10,コスモビスティー,牡5,57,津村,01:24.8,アタマ,11,45.5,36.9,11月11日,美浦松山,484(-4)
9,2,3,ベアクアウフ,牡4,57,江田照,01:25.4,3.1/2,14,216,37.3,11月12日,美浦清水英,482(0)
10,4,7,ロジヒューズ,牝5,55,内田博,01:25.8,2.1/2,10,41.2,38.8,2月2日,美浦古賀慎,484(-8)
11,6,12,カゼノドリーム,セ8,57,武士沢,01:25.8,ハナ,16,369,37.2,15-15,美浦石栗,460(-6)
12,3,5,セイウンリリシイ,牝5,55,武藤,01:26.3,3,8,27.9,39.4,2月2日,美浦水野,468(-10)
13,1,1,タマモジャイブ,牝4,54,☆菊沢,01:26.4,1月2日,2,4.2,39.5,1月1日,美浦伊藤圭,510(-4)
14,1,2,インバウンド,牝4,55,伊藤,01:27.1,4,7,20.2,39.9,4月4日,美浦林,498(+14)
15,8,15,スリーミニオン,牡5,57,村田,01:27.7,3.1/2,15,367.6,40.2,4月7日,美浦柄崎,484(+4)
16,7,13,キョウエイオビエド,牡5,57,丸山,01:30.8,大,13,140.8,43.5,4月4日,美浦勢司,482(+6)
1,2,3,マッチャパフェ,牝3,54,武藤,01:27.6,,3,4.9,38.2,1月1日,美浦林,450(+4)
2,7,14,ユウチャファスト,牝3,54,北村宏,01:28.1,3,5,7.9,38.3,6月5日,美浦中舘,456(+2)
3,8,15,ヨシノパナギア,牝3,54,丸山,01:28.2,1月2日,6,9.5,38.1,7月7日,美浦宗像,488(+2)
4,8,16,シャランドール,牝3,54,大野,01:28.3,クビ,10,69.8,37.6,12月11日,美浦大竹,458(-2)
5,3,6,ミネルバ,牝3,54,ルメー,01:28.3,アタマ,4,7,38.6,4月3日,美浦加藤征,446(+6)
6,6,11,シェーネメロディ,牝3,54,武豊,01:28.3,ハナ,2,4,38.7,2月2日,美浦伊藤大,472(+6)
7,7,13,アイヅオイワケ,牝3,53,☆野中,01:28.3,ハナ,9,54,38.6,3月3日,美浦武市,416(+6)
8,6,12,ラルナジェナ,牝3,54,ミナリ,01:28.3,アタマ,8,50.6,38.5,4月5日,美浦奥村武,434(-8)
9,3,5,ユメミルユメコ,牝3,54,菅原隆,01:28.4,1月2日,12,198.7,37.4,13-13,美浦南田,432(+6)
10,4,7,バーグマン,牝3,54,吉田豊,01:28.7,1.3/4,1,3.6,38.6,7月7日,美浦菊沢,442(-6)
11,5,10,ザハロワ,牝3,53,☆菊沢,01:29.3,3.1/2,14,347.3,38.9,9月9日,美浦天間,468(-2)
12,1,1,キタノナデシコ,牝3,54,田中勝,01:29.4,3月4日,11,83.8,38,15-15,美浦松永康,434(0)
13,2,4,リングアップ,牝3,54,Ｍデム,01:29.5,クビ,7,14.5,38.4,14-14,美浦稲垣,476(-12)
14,1,2,ジョイ,牝3,54,井上,01:29.6,3月4日,13,264.4,38.9,11月11日,美浦古賀史,452(+6)
15,4,8,ララソワニエ,牝3,54,柴田大,01:30.2,4,15,355.8,39.8,9月9日,美浦粕谷,396(-32)
1,4,8,ルヴァンヴェール,牡3,56,松山,01:20.0,,8,22.3,38.1,2月2日,美浦竹内,482(-4)
2,6,11,イデアイホマジョル,牡3,56,Ｍデム,01:20.2,1.1/4,7,18.9,38.1,3月3日,美浦和田雄,440(-8)
3,1,1,スターファイター,牡3,56,田辺,01:20.2,クビ,4,7,37.8,7月6日,美浦田島,472(-4)
4,4,7,ダウラギリ,牡3,56,石橋脩,01:20.3,1月2日,3,5.9,38.6,1月1日,美浦和田郎,504(+6)
5,8,15,グレートコート,牡3,56,ルメー,01:20.4,1月2日,2,4.5,37.9,7月8日,美浦大江原,470(+4)
6,7,13,アルジョンブラン,牡3,56,丸山,01:20.5,3月4日,1,3.1,37.5,14-13,美浦鹿戸,490(+8)
7,2,3,サンドストーム,牡3,56,石川,01:20.7,1.1/4,6,11,38.2,7月8日,美浦尾形,428(-4)
8,3,6,ペイシャハミング,牝3,54,横山和,01:20.8,3月4日,12,89.6,38,11月10日,美浦石栗,430(-2)
9,2,4,ソラン,牡3,56,吉田豊,01:20.9,1月2日,9,24.8,38.6,4月4日,美浦古賀史,524(+4)
10,5,9,コルニリア,牡3,56,嘉藤,01:21.2,1.3/4,11,46.5,38.9,4月4日,美浦大和田,442(+2)
11,8,16,エストラード,牡3,56,江田照,01:21.2,クビ,5,10.7,38.4,11月10日,美浦武市,480(+2)
12,7,14,グランドストローク,牡3,56,武藤,01:21.3,1月2日,13,95.9,38,16-15,美浦水野,448(+2)
13,1,2,シゲルメイオウセイ,牡3,56,内田博,01:21.7,2.1/2,10,34.3,38.9,10月10日,美浦松山,482(0)
14,5,10,タイニーパワー,牡3,56,柴田大,01:22.1,2.1/2,15,312.7,38.8,14-15,美浦粕谷,432(+2)
15,3,5,パシスタ,牡3,56,宮崎,01:22.3,1.1/4,14,146.2,39.3,13-13,美浦高橋祥,486(0)
16,6,12,フルートフル,牝3,53,☆野中,01:22.4,3月4日,16,376.9,40,6月6日,美浦石毛,448(+30)
1,1,1,リアンフィーユ,牝3,54,田辺,01:39.3,,1,3.1,38,10月9日,美浦斎藤誠,450(-2)
2,7,13,シャーレ,牝3,54,石橋脩,01:39.3,クビ,6,11.8,37.8,12月11日,美浦武市,452(+8)
3,8,16,ココラ,牝3,54,松山,01:39.5,1.1/4,11,41.1,38.6,4月6日,美浦大和田,452(-6)
4,7,14,パラスアテナ,牝3,54,吉田豊,01:39.9,2.1/2,4,6.6,38.4,12月11日,美浦高柳瑞,442(-8)
5,4,8,トップブランド,牝3,54,ルメー,01:40.1,1.1/4,3,5.7,39.5,2月2日,美浦伊藤圭,482(-6)
6,5,10,ディーズギャラント,牝3,54,大野,01:40.3,1.1/4,5,11.5,38.8,12月11日,美浦藤原辰,438(-6)
7,5,9,ナーシサステソーロ,牝3,54,武藤,01:40.4,1月2日,7,12.3,39.4,7月7日,美浦奥平,426(+2)
8,3,6,モアナグレイス,牝3,54,柴田大,01:40.4,クビ,15,351.6,38.3,15-14,美浦和田雄,418(0)
9,6,11,ウィップラッシュ,牝3,53,☆菊沢,01:40.4,アタマ,13,79.9,39.2,9月9日,美浦菊沢,472(-4)
10,6,12,チャームインレース,牝3,54,北村宏,01:40.5,クビ,8,18.3,39.7,3月3日,美浦中川,490(+4)
11,4,7,ベルアンブル,牝3,54,ミナリ,01:40.6,3月4日,10,36.6,39.5,8月7日,美浦奥村武,442(+8)
12,2,4,タッシーアレッタ,牝3,54,武豊,01:41.4,5,2,5.6,40.6,4月3日,美浦中舘,434(0)
13,3,5,ヨモギ,牝3,52,△木幡育,01:41.5,1月2日,14,152.7,39.1,16-15,美浦伊藤圭,404(-12)
14,2,3,クリノテルチャン,牝3,54,横山和,01:41.7,1.1/4,9,35.7,40.9,4月3日,美浦高市,482(+2)
15,1,2,シェクロエ,牝3,54,丸山,01:41.9,1.1/2,12,47.3,41.4,1月1日,美浦小野,446(+8)
16,8,15,マオノエピ,牝3,54,木幡巧,01:48.8,大,16,436,46.5,10月15日,美浦黒岩,466(-12)
1,4,7,アキノスマート,牡3,56,横山典,01:39.9,,1,3.1,38.4,1月1日,美浦田中剛,484(0)
2,7,14,レーシングマインド,牡3,56,岡田,01:40.7,5,2,5,38.6,7月7日,栗東浅見,464(0)
3,2,3,コスモオリ,牡3,56,柴田大,01:41.5,5,3,6.1,39.1,11月9日,美浦高橋祥,436(0)
4,3,5,ヤギリエピファクン,牡3,56,丸山,01:41.5,クビ,7,14.8,39.6,5月5日,美浦小西,474(0)
5,7,13,ゴールドスナイパー,牡3,56,木幡巧,01:41.7,1.1/4,9,31.1,39.8,5月5日,美浦田中剛,474(0)
6,5,9,アントルドゥメール,牝3,53,☆菊沢,01:41.9,1,5,9.4,40.1,4月2日,美浦菊沢,442(0)
7,6,12,カッティングロック,牡3,56,石橋脩,01:42.2,1.3/4,10,38.5,37.9,15-15,美浦相沢,504(0)
8,5,10,エドノスカッシュ,牝3,54,内田博,01:42.5,2,12,74.5,40.2,9月9日,美浦松山,476(0)
9,1,1,ヨドノウイング,牡3,56,柴田善,01:43.1,3.1/2,8,20.3,39.3,14-13,美浦中野,480(0)
10,4,8,ロングイ,牡3,56,井上,01:43.3,1.1/4,16,202.2,40.1,11月13日,美浦伊藤大,492(0)
11,2,4,クックテソーロ,牡3,56,鮫島良,01:43.8,3,15,130.1,41.6,8月7日,美浦和田雄,476(0)
12,8,15,シゲルガラテア,牡3,56,村田,01:44.3,3,13,84.9,42.6,2月2日,美浦水野,486(0)
13,1,2,マリノスペクトル,牝3,54,伊藤,01:44.4,1月2日,11,54.7,41,12月12日,美浦林,464(0)
14,6,11,ノーブレイナー,牡3,56,石川,01:45.5,7,14,86.6,43.7,3月2日,美浦蛯名,454(0)
15,8,16,ジュンスターリッチ,牝3,54,松山,01:46.7,7,6,10.3,42.9,10月13日,美浦畠山,458(0)
16,3,6,アラーラム,牝3,54,北村宏,01:49.1,大,4,7.6,40,16-16,美浦上原,458(0)
1,7,14,フェアリーグルーヴ,牝3,54,丸山,01:50.2,,7,43.6,35.6,9-14-13,美浦高橋文,440(+10)
2,1,2,セイウンノワール,牝3,54,田中勝,01:50.2,クビ,6,39.4,36.4,2001/1/1,美浦尾形,506(-4)
3,8,16,ブランシュフルール,牝3,54,ルメー,01:50.3,1月2日,2,3.4,35.8,2015/10/10,美浦大竹,450(+10)
4,3,5,クロトノーナ,牝3,54,石橋脩,01:50.5,1.1/4,4,15.5,36.4,2008/3/4,美浦大和田,414(+12)
5,5,9,アールブリッツ,牡3,56,木幡巧,01:50.8,1.1/2,3,9.4,36.9,2002/2/2,美浦伊藤大,526(+6)
6,1,1,テンカビト,牡3,56,横山和,01:51.1,1.3/4,13,125.3,36.1,16-14-16,美浦小野,496(-14)
7,7,13,アンティシペイト,牡3,56,武豊,01:51.1,クビ,1,1.7,36.8,2007/10/7,美浦国枝,496(+10)
8,8,15,ユイノリオン,牡3,56,吉田豊,01:51.3,1,12,111.6,36.4,11-14-15,美浦尾関,438(0)
9,3,6,サトノバシリス,牝3,54,田辺,01:51.3,ハナ,11,95.6,37,2011/6/7,美浦奥村武,438(+2)
10,4,7,コスモクウ,牡3,56,柴田大,01:51.4,3月4日,10,64.9,37,2011/10/9,美浦上原,464(+6)
11,6,11,ルピナスガーデン,牝3,54,武藤,01:51.5,3月4日,14,333.3,37.6,2003/3/2,美浦竹内,466(+2)
12,2,4,クラウンララファル,牡3,55,☆菊沢,01:51.7,1.1/2,15,407.2,37.2,2003/6/10,美浦田島,472(+10)
13,2,3,クロワルース,牝3,54,北村宏,01:51.8,クビ,5,17,37.6,2003/5/5,美浦古賀慎,480(+10)
14,5,10,マイネルスタイル,牡3,56,ミナリ,01:51.9,3月4日,9,44.9,37.7,2003/6/5,美浦小笠,474(+2)
15,6,12,スノージュエリー,牝3,53,☆野中,01:52.1,1.1/4,8,44.3,37.4,11-13-13,美浦根本,440(-6)
16,4,8,ドナグラツィア,牝3,54,菅原隆,01:52.9,5,16,424.7,38.4,2009/9/10,美浦畠山,412(0)
1,4,5,ヴェスターヴァルト,牡3,56,ルメー,01:23.0,,3,3.9,35,9月7日,美浦加藤征,464(-2)
2,1,1,グランチェイサー,牡3,56,石橋脩,01:23.2,1,5,12.7,34.5,13-13,美浦矢野,456(+10)
3,4,6,コウソクスピード,牡3,56,丸山,01:23.5,1.3/4,4,11.9,34.9,13-13,美浦中舘,520(+10)
4,7,11,モーベット,牝3,52,△木幡育,01:23.5,クビ,2,3.7,35,12月12日,美浦藤沢和,458(+4)
5,3,3,セイウンパワフル,牡3,56,ミナリ,01:23.6,クビ,10,34.8,35.3,11月10日,美浦斎藤誠,472(-6)
6,3,4,ヴァルナ,牡3,56,幸,01:23.6,ハナ,6,12.8,36,3月3日,栗東寺島,478(+2)
7,5,8,アメージングサン,牡3,56,Ｍデム,01:23.8,1.1/2,1,3.7,36.4,1月1日,美浦奥村武,466(+10)
8,8,14,コスモカルナック,牡3,56,柴田大,01:23.9,クビ,9,21.5,35.6,9月10日,美浦菊沢,472(0)
9,6,10,タケルラスティ,牡3,56,松山,01:24.2,2,7,16,36.6,3月3日,栗東矢作,496(0)
10,8,13,ロードエクスプレス,牡3,56,石川,01:24.5,2,8,19.4,36.6,5月5日,栗東坂口,448(+2)
11,2,2,カップッチョ,牡3,56,江田照,01:24.7,1,11,78.3,36.9,7月5日,美浦高市,456(0)
12,6,9,プライモーディアル,牡3,55,☆野中,01:25.0,1.3/4,12,99.6,37.5,2月2日,美浦黒岩,490(+8)
13,7,12,インザムード,牡3,56,岡田,01:25.2,1.1/2,13,243.7,37.1,7月7日,栗東浅見,476(-4)
14,5,7,リュウノゾロ,セ3,56,菅原隆,01:25.4,1.1/4,14,274.4,37.3,5月7日,美浦小野,460(-20)
1,3,6,リトルモンスター,牝4,55,ルメー,01:38.0,,1,2.4,37.5,7月5日,美浦武井,480(+10)
2,8,16,ヴィーダ,セ5,57,木幡巧,01:38.1,3月4日,5,13.1,38.1,2月2日,美浦堀井,436(-6)
3,6,11,ダンスメーカー,牡5,57,武藤,01:38.3,1.1/4,4,12.5,37.5,12月9日,美浦戸田,490(+2)
4,2,4,ペイシャキュウ,牝4,54,☆野中,01:38.3,アタマ,2,3.7,37.6,7月7日,美浦蛯名,424(0)
5,6,12,ロブラリア,牝5,55,江田照,01:38.4,3月4日,7,16.2,37.2,14-13,美浦田村,476(+4)
6,2,3,セイカヤマノ,牡4,57,武士沢,01:38.5,クビ,11,30.6,37,16-15,美浦南田,500(0)
7,3,5,プリミエラムール,牝4,55,武豊,01:38.8,2,10,20.9,39,1月1日,美浦田島,444(-8)
8,8,15,ポートロイヤル,セ4,57,田辺,01:39.3,3,3,12.3,39,5月3日,美浦高柳瑞,480(+6)
9,4,8,ローリエテソーロ,牡4,57,内田博,01:39.8,3,14,196.5,38.4,14-15,美浦加藤和,524(-2)
10,7,14,サンマルフラッシュ,牡4,57,嘉藤,01:39.9,1月2日,16,242.9,39,10月10日,美浦佐藤,458(-20)
11,5,10,フラベリフォーム,牡5,57,田中勝,01:40.7,5,8,17.4,39.7,11月10日,美浦萩原,462(+8)
12,5,9,ミッキーセオリー,牡4,57,大野,01:41.8,7,9,20.8,41.3,4月5日,美浦久保田,464(+18)
13,1,2,クロヒョウ,牡4,57,柴田善,01:42.0,3月4日,6,15.6,41.1,7月10日,美浦小西,486(0)
14,7,13,チバタリアン,牝4,55,石川,01:42.0,クビ,15,198.5,41.4,5月7日,美浦稲垣,426(0)
15,4,7,エレガントエルフ,セ4,57,ミナリ,01:42.1,3月4日,13,186.7,40.8,12月14日,美浦高柳瑞,458(+6)
16,1,1,ボールドスパルタン,牡5,56,☆菊沢,01:43.1,6,12,131.8,42.8,3月3日,美浦大和田,472(+2)
1,2,2,サクラアリュール,牡5,57,武豊,02:11.1,,1,2.4,36.5,4-3-5-3,栗東村山,468(-2)
2,7,9,フィストバンプ,牡4,56,田中勝,02:11.5,2.1/2,7,17.3,37.2,1-1-1-1,美浦松永康,490(-2)
3,8,11,ロードリバーサル,牡4,56,Ｍデム,02:11.8,1.3/4,2,5,37.4,2-2-2-2,栗東藤岡,492(+2)
