着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
4,1,1,ネオブレイブ,牡4,56,田辺,02:11.9,クビ,10,38.7,36.6,9-9-9-9,美浦小西,508(+4)
5,7,10,ストロングライン,牡4,56,石橋脩,02:12.1,1.1/4,3,5.2,37.3,3-3-3-4,栗東西村,512(-10)
6,5,6,キタサンヴィクター,牡5,56,☆菊沢,02:12.5,2.1/2,6,13.4,37.3,8-8-8-8,栗東本田,522(+4)
7,4,4,ミラクルブラッド,牝5,55,大野,02:12.9,2.1/2,9,22.8,37.9,7-7-6-6,美浦相沢,460(+2)
8,8,12,メスキータ,牡4,56,松山,02:13.1,1.1/2,8,19.8,37.8,10-10-9-9,栗東山内,520(-2)
9,3,3,マックスアン,牡4,56,ミナリ,02:13.2,クビ,4,10.2,37.6,11-11-11-11,美浦大和田,470(0)
10,6,7,キャプチュード,牡5,57,武藤,02:13.4,1.1/4,12,121.9,37.6,12-12-12-12,美浦和田郎,486(+2)
11,5,5,ベルウッドカザン,牡4,56,柴田大,02:13.4,アタマ,5,11.2,38.5,4-6-6-6,美浦和田雄,498(0)
12,6,8,ワイルドゲーム,牡7,57,柴田善,02:13.5,3月4日,11,88,38.7,4-3-3-4,美浦石栗,490(-2)
1,2,2,サムシングジャスト,牝4,54,松山,01:48.2,,2,5.8,34.7,2012/11/6,栗東松田,506(-8)
2,5,9,サトノダムゼル,牝4,54,Ｍデム,01:48.2,クビ,1,2.6,34.7,2010/11/6,美浦堀,456(+12)
3,3,4,ロフティフレーズ,牝5,55,丸山,01:48.4,1.1/4,7,18.4,35.6,2010/2/2,美浦上原,468(-2)
4,1,1,リープフラウミルヒ,牝5,55,石川,01:48.5,1月2日,10,27.4,35.7,2001/1/1,美浦相沢,430(+2)
5,3,5,サマーセント,牝4,54,幸,01:48.5,クビ,8,18.6,34.7,2006/8/10,栗東斉藤崇,448(-4)
6,4,6,ローズテソーロ,牝4,54,武藤,01:48.6,1月2日,4,7.3,35,2004/6/8,美浦金成,458(+10)
7,4,7,リンディーホップ,牝5,55,ルメー,01:48.8,1.1/4,3,6.6,35,2006/8/10,美浦金成,484(+16)
8,5,8,ヤマカツグレース,牝6,55,横山典,01:48.9,1月2日,15,125.2,35.6,2002/4/4,栗東池添兼,464(0)
9,7,13,エリティエール,牝6,55,石橋脩,01:49.0,クビ,6,13.7,35.2,2009/8/10,美浦大竹,448(+6)
10,2,3,レオコックブルー,牝5,55,内田博,01:49.0,クビ,12,67.9,34.9,15-15-14,栗東牧田,434(-6)
11,7,12,イストワールファム,牝6,55,武豊,01:49.0,ハナ,9,23.2,35.2,14-14-10,美浦古賀慎,464(+8)
12,8,15,ブラックスビーチ,牝6,55,北村宏,01:49.4,2.1/2,11,27.5,36.5,2002/2/3,栗東角居,464(-4)
13,8,14,モアナアネラ,牝4,54,田辺,01:49.7,1.3/4,5,12.6,35.6,2012/11/14,栗東石坂正,420(-4)
14,6,10,ウインゼノビア,牝4,54,柴田大,01:50.0,1.3/4,13,92.7,36.6,2004/5/4,美浦青木,482(+22)
15,6,11,ハイヒール,牝5,55,ミナリ,01:51.1,7,14,100.7,37.5,2006/6/8,栗東清水久,454(+4)
1,4,8,ショーム,牡5,57,横山典,01:23.6,,4,6.7,35.5,12月13日,美浦鈴木伸,498(+10)
2,3,5,イーグルバローズ,牡6,57,石橋脩,01:23.7,1月2日,9,34.2,35.1,15-15,美浦堀,558(+20)
3,8,15,ベストマッチョ,セ7,58,北村宏,01:23.8,1月2日,10,35.4,36.8,3月3日,美浦手塚,500(+14)
4,6,12,ドリュウ,牡5,57,Ｍデム,01:23.9,3月4日,3,6.3,35.8,12月12日,美浦土田,450(-2)
5,8,16,ブルベアイリーデ,牡4,57,ルメー,01:23.9,クビ,2,3.8,36.6,4月4日,栗東杉山,492(0)
6,3,6,サヴィ,牡6,57,ミナリ,01:24.0,1月2日,7,18.7,36.7,4月4日,栗東中内田,468(+4)
7,7,14,ロードグラディオ,牡4,57,丸山,01:24.3,1.3/4,5,13.8,36.7,6月6日,栗東西浦,486(0)
8,2,3,ラプタス,セ4,57,幸,01:24.6,2,1,3.1,37.8,1月1日,栗東松永昌,462(-2)
9,6,11,サングラス,牡9,59,石川,01:24.6,クビ,16,201,36.2,13-14,栗東谷,510(+2)
10,2,4,アキトクレッセント,牡8,59,大野,01:24.7,3月4日,15,137.4,37.2,6月6日,栗東清水久,508(0)
11,4,7,ノーブルサターン,牡6,57,鮫島良,01:24.8,1月2日,12,45.8,36.9,9月8日,栗東牧浦,508(0)
12,5,9,タガノアム,牝5,55,岡田,01:24.9,1月2日,8,28.6,36.9,9月10日,栗東浅見,480(-6)
13,5,10,ロワアブソリュー,牡7,59,吉田豊,01:25.4,3,13,70.4,37.4,9月10日,栗東須貝,516(-2)
14,1,1,クリノケンリュウ,牡6,57,武藤,01:25.4,クビ,11,44.1,37.6,6月8日,栗東藤沢則,508(0)
15,7,13,トミケンキルカス,牡8,57,田辺,01:26.8,9,14,102.5,39.9,2月2日,美浦大和田,518(+2)
1,6,6,ダーリントンホール,牡3,56,ルメー,01:49.6,,3,6,34.1,2004/4/3,美浦木村,526(+2)
2,2,2,ビターエンダー,牡3,56,ミナリ,01:49.6,ハナ,4,14.1,34.3,2002/1/1,美浦相沢,460(-10)
3,7,7,フィリオアレグロ,牡3,56,Ｍデム,01:50.3,4,2,4.6,34.6,2002/4/5,美浦堀,490(+18)
4,8,8,マイラプソディ,牡3,57,武豊,01:50.3,アタマ,1,1.5,34.3,2006/7/7,栗東友道,508(-2)
5,3,3,ココロノトウダイ,牡3,56,丸山,01:50.4,1月2日,5,14.6,34.9,2001/2/3,美浦手塚,528(+12)
6,4,4,シングンバズーカ,牡3,56,柴田善,01:50.4,ハナ,7,32.5,34.6,2006/4/5,美浦高市,474(+6)
7,1,1,エン,牡3,54,柴田大,01:51.4,6,6,25,36,2004/2/2,地方河津裕,466(+3)
8,8,9,シコウ,牡3,56,木幡巧,01:51.5,1月2日,8,217.5,35.4,2006/9/7,美浦牧,456(-4)
9,5,5,アジュバント,牡3,56,幸,01:52.0,3,9,258.1,36,2009/7/7,美浦上原,452(-2)
1,7,10,ニシノカツナリ,牡4,57,田辺,01:35.1,,1,3.6,34.8,9月9日,美浦水野,480(+4)
2,6,7,パルマリア,牡5,57,丸山,01:35.4,2,3,4.5,35.5,6月5日,美浦武井,534(+6)
3,8,12,ロザムール,牝4,55,北村宏,01:35.5,クビ,6,13.5,36.2,1月1日,美浦上原,482(-2)
4,6,8,サトノフォース,牡4,57,ルメー,01:35.6,1月2日,2,3.9,35.5,7月7日,美浦藤沢和,460(+4)
5,4,4,ステイオンザトップ,牡6,57,Ｍデム,01:35.6,ハナ,4,4.6,36,2月2日,栗東須貝,476(+4)
6,8,11,ソーラーフレア,牡5,57,松山,01:35.8,1.1/4,7,21.2,35.6,7月7日,美浦高柳瑞,458(-2)
7,1,1,エイムアンドエンド,牡5,57,石橋脩,01:35.9,1月2日,8,28.3,36.1,3月5日,美浦奥村武,500(+6)
8,5,6,ショワドゥロワ,牡6,57,武豊,01:36.0,1月2日,10,50.5,35.7,9月9日,美浦鹿戸,520(+12)
9,2,2,エメラルスター,牡6,57,石川,01:36.3,2,9,39.3,36.7,4月2日,美浦相沢,462(0)
10,5,5,ナンヨーマーズ,牡6,55,△木幡育,01:36.4,クビ,11,211.1,35.6,12月11日,美浦杉浦,464(+4)
11,7,9,スワンボート,牡10,57,幸,01:37.9,9,12,321.2,37.2,11月11日,美浦浅野,488(-6)
12,3,3,アンブロークン,牡4,57,武藤,01:39.7,大,5,13,40,4月2日,美浦手塚,514(-4)
1,3,5,クールマキシマム,牝3,54,嘉藤,01:25.8,,1,3,36.6,4月4日,美浦奥平,474(-4)
2,2,4,ディアコニア,牝3,54,フォー,01:26.7,5,3,3.3,37.2,7月7日,美浦古賀慎,462(+10)
3,7,14,ナーラック,牝3,53,☆菊沢,01:26.7,アタマ,5,17.2,37.8,2月2日,美浦柄崎,442(-2)
4,8,16,トリッチトラッチ,牝3,54,田辺,01:27.5,5,2,3.3,37.2,14-14,美浦伊藤圭,420(0)
5,3,6,ハワイアンムーン,牝3,54,ミナリ,01:27.8,1.3/4,6,22.6,38.9,1月1日,美浦鹿戸,456(-6)
6,7,13,アオイサンゴショウ,牝3,54,武藤,01:28.1,2,13,182.8,38.2,9月9日,美浦田中清,430(+14)
7,2,3,セイレーンズベルン,牝3,54,北村宏,01:28.4,1.3/4,7,29.4,39.2,4月4日,美浦加藤和,416(+4)
8,1,1,ロマンスストーリー,牝3,53,☆野中,01:28.4,クビ,10,40.3,38.5,9月9日,美浦新開,436(-4)
9,1,2,キアナポラリス,牝3,54,柴田善,01:28.6,1,8,31.9,38.4,12月13日,美浦国枝,434(+2)
10,4,8,タマサイ,牝3,54,江田照,01:28.8,1.1/2,14,237,38.7,11月11日,美浦尾関,430(+4)
11,5,10,サツキオーゴン,牝3,54,藤井勘,01:28.9,クビ,15,322.6,39.9,2月2日,美浦石栗,422(+4)
12,4,7,セブンシースケイプ,牝3,54,横山和,01:29.0,1月2日,12,151.5,38.6,14-15,美浦勢司,452(0)
13,8,15,ルージュキッス,牝3,54,宮崎,01:29.2,1.1/2,11,108.1,39.1,12月11日,美浦和田雄,438(+8)
14,6,11,ベスティー,牝3,52,△木幡育,01:30.0,5,16,363.9,39.1,16-16,美浦林,464(-6)
15,6,12,ミッキーベル,牝3,54,横山典,01:30.7,4,9,40.2,41,7月8日,美浦菊沢,416(-14)
16,5,9,グリエクレール,牝3,54,津村,01:31.5,5,4,12.1,42.3,4月4日,美浦菊沢,452(+6)
1,1,2,リュードマン,牡3,56,横山典,02:16.7,,4,7.8,38.8,3-3-4-4,美浦中川,472(+2)
2,3,6,ロドルフォブレイン,牡3,56,石橋脩,02:16.8,3月4日,2,5,39,3-3-3-3,美浦尾関,526(-4)
3,6,11,トップリーチ,牡3,56,横山和,02:17.0,1,11,63.9,38.7,14-13-7-7,美浦萱野,438(-8)
4,2,4,ケイアイタカプナ,牡3,56,江田照,02:17.1,1月2日,10,48.6,39.8,2-2-2-1,美浦田村,462(0)
5,4,8,ショウナンアクア,牡3,56,吉田豊,02:17.4,2,3,5,38.4,11-11-11-12,美浦古賀史,472(-2)
6,4,7,サバイバルボス,牡3,56,内田博,02:17.7,1.3/4,15,320.6,38.6,12-11-13-13,美浦和田雄,500(+6)
7,5,9,キークラウン,牡3,55,☆野中,02:17.8,1月2日,7,20.9,39.1,16-13-9-9,美浦黒岩,492(-2)
8,2,3,スウィング,牡3,56,田辺,02:17.9,クビ,5,8.4,39.5,5-5-8-8,美浦高柳瑞,480(+2)
9,5,10,ワンダーサーイター,牡3,56,菅原隆,02:17.9,ハナ,16,434.4,38.6,12-13-13-15,美浦畠山,452(-4)
10,3,5,ユーアーマイソウル,牡3,56,嘉藤,02:18.0,3月4日,13,141.5,40.7,1-1-1-2,美浦伊藤伸,486(-2)
11,8,15,ソルメンシス,牡3,55,☆菊沢,02:18.2,1.1/4,12,80.9,39.5,8-8-9-9,美浦菊川,492(-4)
12,7,14,レオファイナリスト,牡3,56,木幡巧,02:18.7,3,1,2.7,40.8,5-5-4-4,美浦牧,474(-2)
13,1,1,クラウンマハロ,牡3,56,武藤,02:19.0,2,9,47.3,39.9,10-10-13-13,美浦尾形,510(+6)
14,8,16,ボントンルレ,牡3,56,丸山,02:19.0,ハナ,8,32.5,41,5-5-4-4,美浦林,468(+2)
15,6,12,ジョウハリ,牡3,56,武士沢,02:19.1,1月2日,14,205.9,39.7,14-13-16-15,美浦田島,438(+6)
16,7,13,オルプランタン,牝3,54,ミナリ,02:20.7,10,6,12.1,41.9,9-8-11-9,美浦田中清,424(-6)
1,8,15,プロヴィデンス,牡3,56,田辺,01:25.3,,2,4.6,36.6,1月1日,美浦加藤士,476(-4)
2,6,12,ブランクチェック,牝3,54,フォー,01:25.7,2.1/2,4,6.5,36.4,6月7日,美浦栗田,482(+2)
3,8,16,パルディエス,牡3,56,横山典,01:25.7,アタマ,1,3.2,36.7,3月3日,美浦田中博,464(+6)
4,7,14,トリプルシックス,牝3,54,横山和,01:25.8,クビ,10,39.8,37,2月2日,美浦古賀史,466(-2)
5,3,6,インウィクトス,牡3,56,Ｍデム,01:26.2,2.1/2,3,5.9,37.2,3月3日,美浦小桧山,458(-6)
6,4,8,カイアワセ,牝3,54,武士沢,01:26.3,クビ,6,13,37.2,3月3日,美浦星野,436(0)
7,2,4,ダイチヴィット,牡3,56,江田照,01:26.3,クビ,12,44,36.8,10月9日,美浦竹内,454(-2)
8,5,9,スズカコーズマンボ,牡3,56,北村宏,01:26.4,3月4日,5,11.4,36.1,15-15,美浦伊藤圭,468(-8)
9,1,1,バウンティハンター,牡3,56,黛,01:26.5,1月2日,8,25.7,36.6,12月11日,美浦藤原辰,480(-4)
10,1,2,アポロセイラン,牡3,56,吉田豊,01:26.6,3月4日,14,95.9,36.5,13-13,美浦中舘,452(0)
11,2,3,ニシノホライゾン,牡3,56,丸山,01:26.7,クビ,11,39.9,37.4,8月7日,美浦的場,514(+4)
12,7,13,ドンマニフィコ,牡3,56,石橋脩,01:26.8,1月2日,9,27,37.7,6月3日,栗東牧浦,436(+2)
13,6,11,テンサイドカップ,牝3,54,内田博,01:26.8,アタマ,7,16.7,37.3,10月9日,美浦矢野,470(+4)
14,4,7,クリアミッション,牡3,56,大庭,01:26.9,3月4日,13,67.5,36.8,15-13,美浦土田,506(0)
15,3,5,ハディア,牡3,55,☆菊沢,01:28.3,8,15,140.1,38.4,9月11日,美浦粕谷,464(-4)
16,5,10,エコロアーサー,牡3,55,☆野中,01:29.3,6,16,322.7,38.9,13-15,美浦武市,452(-2)
1,8,16,パイロテクニクス,セ4,57,川田,01:38.2,,1,2.2,36.3,5月5日,美浦武藤,506(-6)
2,4,7,シングシングシング,牝5,55,武藤,01:38.3,3月4日,2,4.1,37.1,1月1日,美浦伊藤大,476(-4)
3,8,15,マイネルレンカ,牡6,57,フォー,01:38.7,2.1/2,9,54.7,37.4,2月2日,美浦堀井,470(+6)
4,4,8,チェリートリトン,牡6,57,田辺,01:38.8,クビ,5,9.2,37.3,3月3日,美浦小西,490(+2)
5,3,6,ショーヒデキラ,牡4,57,津村,01:39.2,2.1/2,4,8.4,37.1,7月7日,美浦鈴木伸,482(-4)
6,7,13,モリノカワセミ,牝4,55,江田照,01:39.4,1.1/2,6,12,36.9,9月9日,美浦大江原,464(+10)
7,1,2,オープンザウェイ,セ8,57,木幡巧,01:39.5,クビ,11,59.8,36.1,16-15,美浦菊川,474(+2)
8,7,14,ヴィーヴルサヴィ,セ5,56,☆野中,01:39.6,3月4日,13,189.4,37.9,4月4日,美浦林,510(+6)
9,2,3,ニューツーリズム,牡4,57,Ｍデム,01:39.7,1月2日,3,8.4,36.8,12月13日,美浦黒岩,510(+2)
10,5,10,ハンドリー,牝5,55,ミナリ,01:39.8,クビ,10,56.6,37,11月11日,美浦青木,464(0)
11,6,12,アミュリオン,牡4,57,黛,01:39.8,ハナ,12,105.9,37.3,9月9日,美浦藤原辰,472(+6)
12,1,1,ゴルトグランツ,牡4,56,☆菊沢,01:40.0,1.1/4,14,213.5,37.8,7月8日,美浦萱野,470(-18)
13,5,9,ナムラブル,牡4,57,横山典,01:40.3,2,7,28.8,37.3,14-14,美浦石栗,478(0)
14,3,5,スズカアポロ,牡9,55,△木幡育,01:41.9,10,16,291.6,39,11月12日,美浦柄崎,484(+14)
15,6,11,ストライクショット,牝7,55,田中勝,01:43.5,10,15,263.2,41.5,5月6日,美浦石毛,506(-6)
16,2,4,コングールテソーロ,牡4,57,内田博,01:43.8,1.3/4,8,44.2,40.4,14-15,美浦奥平,480(0)
1,7,14,クロノメーター,牡3,56,田辺,01:35.1,,1,2.9,35,5月5日,美浦尾形,442(+6)
2,8,16,ノーエクスキューズ,牡3,56,丸山,01:35.3,1.1/2,5,8.3,35,10月7日,美浦和田郎,496(+4)
3,3,5,ロジアイリッシュ,牝3,54,川田,01:35.7,2.1/2,4,6.7,35.3,8月7日,美浦国枝,492(-2)
4,1,2,ダイワミラクル,牡3,56,北村宏,01:35.8,3月4日,2,3.8,35.3,10月10日,美浦鹿戸,494(-6)
5,7,13,オメガエリタージュ,牡3,56,池添,01:36.0,1,7,16,36.1,2月2日,美浦斎藤誠,444(-4)
6,1,1,スリジエ,牝3,54,ミナリ,01:36.2,1.1/2,8,41.9,36.2,4月4日,美浦奥村武,480(+12)
6,5,10,スピードオブラブ,牝3,54,吉田豊,01:36.2,1.1/2,3,6,36.3,2月2日,美浦中川,432(-4)
8,2,4,ヒナノコバン,牡3,56,柴田善,01:36.5,1.3/4,14,254.3,36.2,7月7日,美浦本間,452(+2)
9,6,11,ナックペガサス,牡3,56,横山和,01:36.5,ハナ,15,271.6,35.8,13-13,美浦杉浦,450(+2)
10,4,8,エースインザハート,牡3,56,嘉藤,01:36.5,クビ,13,251.5,36.4,5月5日,美浦大江原,448(0)
11,4,7,キタノポケット,牝3,52,△木幡育,01:36.6,クビ,9,50.5,35.6,14-15,美浦深山,376(-6)
12,8,15,ノーブレスサンデー,牡3,56,菅原隆,01:36.9,1.3/4,16,636.6,36.4,10月10日,美浦清水英,448(+20)
13,3,6,エリーストーム,牝3,53,☆野中,01:37.2,2,11,94.4,37.4,1月1日,美浦本間,430(+8)
14,6,12,トーセンオリジン,牡3,56,田中勝,01:37.3,1月2日,10,64.9,36.5,14-13,美浦宗像,452(+10)
15,5,9,コスモプロケッラ,牡3,56,フォー,01:38.1,5,12,116.9,37.5,8月12日,美浦蛯名,442(+2)
16,2,3,ナショナルアンセム,牝3,54,Ｍデム,01:38.2,3月4日,6,15.7,36.8,16-16,美浦矢野,444(0)
1,6,8,レッドサーシャ,牝3,54,内田博,01:50.1,,3,5.8,35.8,2009/9/9,美浦黒岩,456(0)
2,2,2,ブラックアモーレ,牝3,54,石橋脩,01:50.1,クビ,5,7.1,36.5,2002/3/3,栗東角居,464(0)
3,5,6,ワーウルフ,牡3,56,川田,01:50.3,1.1/4,1,2.8,36.6,2006/4/4,栗東斉藤崇,468(0)
4,8,12,エンドレスレイン,牡3,56,吉田豊,01:50.3,クビ,6,7.4,36.6,2004/4/4,美浦小島,484(0)
5,4,4,キングズフォース,牡3,56,Ｍデム,01:50.3,アタマ,4,6.7,36.3,2008/6/6,美浦金成,472(0)
6,1,1,ダンレアリー,牡3,56,フォー,01:50.5,1,2,5.3,37.2,2001/1/1,栗東中竹,524(0)
7,7,9,ウインフウジン,牡3,56,宮崎,01:51.8,8,9,60.3,37.7,2007/6/6,美浦上原,462(0)
8,6,7,ショウナンマルーン,牡3,56,丸山,01:52.0,1.1/4,7,17.8,36.7,2011/11/11,美浦上原,492(0)
9,5,5,ボヘミアンヒーロー,牡3,56,中谷,01:52.8,5,10,78.9,38.7,2005/6/6,栗東森田,512(0)
10,8,11,キューゴーパドック,牡3,55,☆野中,01:52.9,1月2日,11,157.4,38.1,2009/9/10,美浦根本,502(0)
11,3,3,キクノキング,牡3,56,池添,01:53.1,1.1/4,8,45.2,39.8,2002/2/2,栗東森田,486(0)
12,7,10,キティマグネット,牡3,54,△木幡育,01:58.8,大,12,180.3,41,2011/12/12,美浦和田郎,480(0)
1,8,16,グラデュエイト,牡5,57,川田,01:24.6,,1,2.1,36.4,1月1日,美浦加藤征,514(+6)
2,4,8,パイオニアバローズ,セ4,57,池添,01:25.5,5,10,33.3,37.2,2月2日,美浦木村,524(-12)
3,2,3,ポップアップスター,牡6,57,石橋脩,01:25.7,1.1/4,2,5.3,36.4,15-13,美浦金成,526(-8)
4,1,1,デルマカミカゼ,牡5,57,横山和,01:25.7,クビ,8,24.3,37.3,3月3日,美浦小野,464(-2)
5,5,9,フジノタカネ,牡4,57,丸山,01:25.8,3月4日,3,6.5,36.7,10月11日,美浦手塚,522(+2)
6,1,2,キングキャラット,牡4,55,△木幡育,01:26.1,1.3/4,13,114.7,36.7,13-14,美浦南田,516(+2)
7,7,13,コスモクウェンチ,牡6,57,武士沢,01:26.1,ハナ,9,25.1,37.3,7月6日,美浦小桧山,490(-2)
8,7,14,クラウンクラシック,牡5,56,☆野中,01:26.3,1.1/4,12,69,37.7,3月4日,美浦菊川,490(+6)
9,6,12,クワトロダッシュ,牡5,57,木幡巧,01:26.3,ハナ,5,20.5,37.1,10月11日,美浦牧,494(+4)
10,2,4,ナイスプリンセス,牝4,55,田辺,01:26.3,アタマ,7,22.1,37.3,10月9日,美浦石栗,448(+2)
11,3,6,ステラストラータ,セ5,57,柴田善,01:26.4,クビ,6,21.4,37,13-14,美浦大江原,476(-2)
12,8,15,デルマアンバリッド,牝4,55,武藤,01:26.8,2.1/2,15,282.4,37.8,3月9日,美浦堀井,482(-14)
13,4,7,カーリングストーン,牡4,56,☆菊沢,01:26.9,クビ,4,7.1,38,9月6日,美浦菊沢,476(+6)
14,6,11,モッズストーン,セ4,57,津村,01:27.1,1.1/2,11,55.2,38.3,7月6日,美浦武井,486(+4)
15,3,5,スマートグランダム,牝4,55,内田博,01:27.3,1,14,210.5,37.6,15-16,美浦加藤征,516(-2)
16,5,10,ファーベライト,牝5,55,江田照,01:30.0,大,16,409.2,41.4,3月4日,美浦高橋裕,482(-6)
1,3,3,サトノフウジン,牡3,56,石橋脩,02:01.1,,2,3.5,36.3,2004/3/4,美浦堀,470(0)
2,6,6,アメリカンシード,牡3,56,川田,02:01.3,1.1/4,1,2.2,36.5,2004/3/4,栗東藤岡,474(-2)
3,4,4,マイネルミンドール,牡3,56,津村,02:01.4,3月4日,6,32.1,36.4,2007/7/6,美浦相沢,446(+2)
4,7,7,ジェラペッシュ,牝3,54,吉田豊,02:01.7,2,4,6.8,36.8,2006/6/6,美浦尾関,446(0)
5,2,2,カンバラ,牝3,54,丸山,02:02.4,4,5,8,37.8,2002/2/2,美浦黒岩,472(-8)
6,5,5,フローズンスタイル,牝3,54,田辺,02:02.9,3,3,5,38.2,2003/3/3,美浦黒岩,450(-10)
7,1,1,ショウナンバレリオ,牡3,56,池添,02:03.7,5,7,59.8,39.2,2001/1/1,栗東池添兼,464(-4)
1,1,2,アフターバーナー,セ6,57,田辺,01:36.9,,5,9.9,36.7,11月9日,美浦伊藤圭,520(+2)
2,6,11,オンザロックス,牡7,57,川田,01:36.9,クビ,3,7,36.9,5月7日,栗東森,494(0)
3,5,10,セイヴァリアント,牡4,57,吉田豊,01:36.9,アタマ,1,3.1,36.2,14-15,美浦中川,500(+2)
4,8,16,テイエムグッドマン,牡6,57,横山典,01:37.0,クビ,2,4.5,37.3,2月2日,栗東武英,496(-2)
5,4,8,フラワーストリーム,セ5,56,☆野中,01:37.3,2,6,10.3,36.8,11月12日,美浦池上,464(-4)
6,4,7,モリトユウブ,牡5,57,内田博,01:37.4,1月2日,14,96.8,37.6,3月2日,美浦堀井,500(+6)
7,8,15,フクノグリュック,牡8,57,横山和,01:37.6,1,10,44.1,37.8,7月2日,美浦杉浦,522(0)
8,1,1,データヴァリュー,牡6,57,津村,01:37.7,1月2日,11,50.7,37.3,11月12日,美浦中舘,488(+2)
9,5,9,リードザウインド,牝5,55,武藤,01:37.9,1.1/4,12,73.4,37.9,8月7日,美浦小島,480(+14)
10,3,5,ダイワインパルス,牡8,56,☆菊沢,01:38.2,2,9,43.6,37.4,16-15,美浦宗像,482(-6)
11,2,4,ランバージャック,牡6,57,丸山,01:38.3,3月4日,13,89.7,37.8,12月14日,栗東鮫島,470(-6)
12,7,14,コスモハヤテ,牡4,57,木幡巧,01:39.2,5,15,153,39.5,3月2日,美浦小野,478(+2)
13,3,6,ヤマニンリュシオル,牝5,55,伊藤,01:39.3,1月2日,16,158.1,39.1,8月9日,美浦蛯名,476(-8)
14,2,3,スコッチリール,牝4,55,フォー,01:39.7,2.1/2,7,12.5,39.5,8月9日,美浦林,462(+10)
15,6,12,モズエロイコ,牡4,57,中谷,01:39.9,1.1/2,4,7.3,40.4,1月1日,栗東矢作,464(+2)
16,7,13,ゴールドブラッド,牡6,57,田中勝,01:40.0,クビ,8,23.5,40.3,5月2日,美浦宗像,490(-2)
1,5,10,マスターフェンサー,牡4,56,川田,02:11.4,,1,1.8,37.5,7-7-7-7,栗東角田,492(-6)
2,1,2,ウラノメトリア,セ4,55,北村宏,02:11.8,2.1/2,3,6.4,38.2,5-5-4-3,栗東矢作,488(-4)
3,7,14,アイファーキングズ,牡4,55,丸山,02:11.8,アタマ,2,5.7,38.1,5-6-4-3,栗東鮫島,492(+2)
4,1,1,フォースライン,牡6,54,フォー,02:11.9,1月2日,5,11.2,38.1,8-7-7-7,栗東吉田,512(0)
5,3,6,アドラメレク,牡6,55,田辺,02:12.3,2.1/2,6,20.9,38.3,11-11-9-9,栗東石坂正,468(+6)
6,8,16,アポロユッキー,牝6,50,伊藤,02:12.4,1月2日,16,254.1,38.3,8-9-9-10,美浦鈴木伸,532(-2)
7,2,3,スズカフリオーソ,牡6,54,横山典,02:12.6,1.1/4,4,9.9,38.2,13-14-13-12,栗東藤沢則,498(+2)
8,5,9,スペリオルシチー,牡6,54,ミナリ,02:12.8,1.1/4,14,126.6,38.7,10-9-9-10,美浦相沢,480(+16)
9,6,12,アノ,牡4,54,藤井勘,02:12.8,クビ,12,70.2,38,11-12-14-15,栗東鈴木孝,438(0)
10,3,5,ロジティナ,牡5,54,池添,02:13.1,1.3/4,8,36.9,39.8,3-1-2-2,美浦新開,542(+2)
