着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
11,8,15,アッシェンプッテル,牝4,53,城戸,02:13.1,ハナ,7,35.9,38.6,13-15-14-14,栗東奥村豊,504(-8)
12,4,8,ジュンスターホース,牡6,55,内田博,02:13.1,アタマ,9,44.4,38.3,16-16-14-15,美浦高柳瑞,484(+8)
13,6,11,オーパスメーカー,牝4,52,長岡,02:13.3,1,11,70.1,39.7,2-3-3-3,栗東羽月,474(-8)
14,4,7,スターライトブルー,牡6,53,吉田豊,02:13.3,クビ,13,124.8,40.2,1-2-1-1,美浦戸田,510(+4)
15,7,13,メイショウマトイ,牡6,54,野中,02:13.5,1.1/4,10,47.8,39.1,13-12-12-12,栗東本田,490(-4)
16,2,4,フクサンローズ,牝6,51,武藤,02:13.5,アタマ,15,164.8,39.9,3-4-4-3,美浦小西,448(-4)
1,8,16,ミライヘノツバサ,牡7,54,木幡巧,03:31.2,,16,325.5,37.4,10-10-10-10,美浦伊藤大,498(-2)
2,7,14,メイショウテンゲン,牡4,55,池添,03:31.2,ハナ,3,8.2,37.2,14-14-13-13,栗東池添兼,456(+2)
3,1,1,オセアグレイト,牡4,54,野中,03:32.0,5,2,4.9,38.7,4-4-2-2,美浦菊川,484(-4)
4,3,6,レノヴァール,牡5,54,横山典,03:32.0,ハナ,4,9.3,38.5,8-9-9-3,栗東高野,530(-2)
5,6,11,タイセイトレイル,牡5,55,中谷,03:32.5,3,5,10.9,38.8,12-12-10-7,栗東矢作,492(-8)
6,5,9,ステイブラビッシモ,牡7,52,江田照,03:33.1,3.1/2,15,159,39.4,15-15-13-7,美浦久保田,468(-8)
7,4,7,タガノディアマンテ,牡4,55,川田,03:33.3,1.1/4,1,2.1,39.2,16-16-16-15,栗東鮫島,470(-8)
8,5,10,サトノティターン,牡7,57,石橋脩,03:33.5,1.1/4,11,68.1,39.4,13-12-13-15,美浦堀,588(+8)
9,7,13,ヴァントシルム,牡6,55,Ｍデム,03:33.7,1.1/2,7,19.3,40.2,6-6-6-3,栗東須貝,480(+6)
10,1,2,ウインテンダネス,牡7,56,内田博,03:34.0,2,14,147,40,6-7-6-13,栗東杉山,512(-2)
11,2,3,ポポカテペトル,牡6,55,北村宏,03:34.2,1.1/4,8,33.1,40.7,8-7-6-3,栗東友道,486(+4)
12,2,4,ロサグラウカ,牝5,52,丸山,03:34.3,クビ,9,37.6,41.2,1-1-1-1,美浦尾関,450(0)
13,3,5,リッジマン,牡7,57,フォー,03:35.1,5,12,71.5,41.2,10-10-10-10,栗東庄野,452(+10)
14,4,8,アドマイヤジャスタ,牡4,54,田辺,03:35.4,2,13,89.9,41.8,4-4-5-3,栗東須貝,518(-2)
15,6,12,ダノンキングダム,牡6,54,津村,03:35.9,3,10,57,42,3-3-2-10,栗東安田隆,484(-4)
16,8,15,バレリオ,牡5,54,ミナリ,03:37.5,10,6,13.3,43.8,2-2-2-7,美浦相沢,500(+2)
1,8,12,ソーラーフレア,牡5,57,津村,01:21.9,,7,19.1,34.1,9月9日,美浦高柳瑞,454(-4)
2,3,3,スイーズドリームス,牡6,57,川田,01:21.9,クビ,2,3.6,34.3,6月4日,栗東須貝,504(0)
3,5,7,エスタジ,牝4,55,Ｍデム,01:22.0,1月2日,1,2.8,34.8,3月3日,美浦木村,436(+2)
4,5,6,スズカアーチスト,牝5,55,江田照,01:22.0,クビ,12,65.2,35.1,2月2日,美浦伊藤圭,470(0)
5,6,8,アイスフィヨルド,牡5,57,武藤,01:22.6,3.1/2,8,26.7,34.4,11月11日,美浦武藤,454(-2)
6,8,13,リンシャンカイホウ,牡5,57,フォー,01:22.7,クビ,10,42.1,36.8,1月1日,美浦田中剛,454(-2)
7,2,2,シセイタイガ,牡4,57,ミナリ,01:22.7,クビ,4,9.9,35,6月7日,美浦高橋文,470(+2)
8,6,9,スペキュラース,牝4,55,木幡巧,01:22.8,1月2日,9,30.2,35.3,4月4日,美浦高橋祥,458(+6)
9,7,10,イチゴミルフィーユ,牝4,55,伊藤,01:23.0,1.1/4,11,43.6,35.3,6月7日,美浦林,442(-2)
10,4,4,ココフィーユ,牝4,55,池添,01:23.1,3月4日,3,5.8,35.6,4月4日,美浦斎藤誠,440(+2)
11,4,5,クラヴィスオレア,セ4,55,△木幡育,01:23.2,1月2日,6,17.6,35.2,9月10日,美浦藤沢和,482(0)
12,1,1,プレトリア,セ5,57,田辺,01:23.2,ハナ,5,9.9,34.9,11月12日,美浦中川,460(-6)
13,7,11,ケンデスティニー,牡5,57,内田博,01:24.6,8,13,69.2,35.3,13-13,栗東森,496(0)
1,5,10,プリマジア,牡3,56,ルメー,01:25.5,,1,2.8,35.6,8月8日,美浦金成,456(+2)
2,2,4,タイキラッシュ,牡3,56,大野,01:25.5,ハナ,2,3.5,36.4,2月2日,美浦高木,508(+4)
3,4,8,ダイシンウィット,牡3,56,福永,01:26.3,5,5,11.3,37.4,1月1日,美浦小笠,494(-4)
4,8,15,ヨシオドライヴ,牡3,56,大庭,01:26.6,2,3,6.1,37.1,4月6日,美浦清水英,486(-4)
5,2,3,スイ,牝3,54,Ｍデム,01:26.7,1月2日,8,34.5,37.4,4月3日,美浦戸田,480(+2)
6,7,14,グーガルドリームズ,牡3,56,北村宏,01:26.9,1.1/4,4,7.1,36.5,14-14,美浦伊藤伸,494(-2)
7,7,13,カッチョカバロ,牡3,56,木幡巧,01:27.0,クビ,6,13.6,37.7,3月3日,美浦牧,498(+2)
8,8,16,ムーンダイアローグ,牡3,56,ミナリ,01:27.2,1.1/2,7,23.2,37,11月12日,美浦矢野,442(+6)
9,6,11,ヌンカプト,牡3,56,フォー,01:27.3,1月2日,12,96.1,37.3,11月10日,美浦矢野,454(+18)
10,3,5,ショウナンアサヤケ,牡3,56,和田,01:27.3,ハナ,11,83.6,38,4月3日,美浦武市,504(+6)
11,3,6,グロリアスブレイク,牝3,54,江田照,01:27.6,2,14,212.2,38,7月6日,美浦田島,442(-4)
12,1,1,クァンタムリープ,牡3,54,△木幡育,01:27.9,2,10,52.4,38,8月8日,美浦鹿戸,472(-2)
13,6,12,ダイワリチャード,牡3,55,☆野中,01:28.0,クビ,9,41.7,38,8月10日,美浦上原,452(+2)
14,5,9,レディトゥラン,牝3,54,佐藤友,01:29.5,9,16,311.4,38.5,15-15,美浦加藤和,420(0)
15,1,2,マイネルグッドデイ,牡3,56,津村,01:30.6,7,15,275.5,40.3,11月12日,美浦田島,494(-12)
16,4,7,アースウルフ,牡3,56,横山典,01:32.5,大,13,121.2,39.1,16-16,美浦粕谷,434(+12)
1,1,1,ミティル,牝3,54,武豊,01:26.3,,1,2,37.6,1月1日,栗東野中,498(0)
2,4,8,チョーズンワン,牡3,56,ミナリ,01:27.3,6,4,9.3,37.1,7月6日,美浦萩原,460(0)
3,6,11,ジュンハルト,牡3,56,津村,01:27.4,クビ,7,16.6,37.6,4月4日,美浦田中博,456(0)
4,2,3,キクノダンカーク,牡3,56,畑端,01:27.7,2,5,11.6,37.6,6月6日,栗東吉田,452(0)
5,3,6,スリーブラザー,セ3,56,松山,01:27.8,1月2日,3,7.5,38.6,3月3日,栗東小崎,486(0)
6,2,4,デルマラピスラズリ,牡3,56,横山和,01:27.9,1月2日,6,16,38.9,2月2日,美浦小野,508(0)
7,7,14,キタノユニヴァース,牡3,55,☆野中,01:27.9,ハナ,8,33.4,36.2,12月12日,美浦本間,500(0)
8,8,16,マベルロンジュ,牝3,54,Ｍデム,01:28.0,1月2日,2,5.1,37.9,7月6日,美浦斎藤誠,472(0)
9,5,9,ツウカイエオス,牝3,54,フォー,01:28.9,5,12,86.4,38.4,9月9日,美浦小笠,438(0)
10,4,7,ハヤト,牡3,56,長岡,01:29.1,1.1/4,11,82.2,37.8,10月11日,栗東杉山,498(0)
11,1,2,マリノコジーン,牝3,54,武士沢,01:29.7,3.1/2,13,143,38.9,10月10日,美浦水野,438(0)
12,6,12,チャーミングポポ,牝3,54,大庭,01:29.8,クビ,14,160.5,39.9,4月5日,美浦蛯名,454(0)
13,3,5,ブレイドラン,牡3,56,吉田豊,01:30.0,1,9,60.4,37.8,13-13,美浦高橋文,526(0)
14,5,10,ラインサラマンダー,牡3,56,宮崎,01:30.7,4,16,211.5,38.2,15-15,美浦蛯名,462(0)
15,8,15,ヴァリアントナイト,牡3,56,北村友,01:31.1,2.1/2,10,62.9,38.8,13-13,美浦池上,452(0)
16,7,13,ラブマリリン,牝3,54,和田,01:31.3,1,15,190.5,37.6,16-16,美浦加藤和,456(0)
1,2,4,ブレイクザボーダー,牡3,56,佐藤友,01:39.1,,6,10.4,38.3,1月1日,美浦畠山,472(-4)
2,6,12,サイモンルグラン,牡3,56,和田,01:39.3,1.1/2,5,10.4,38,7月5日,美浦勢司,500(+6)
3,8,16,サウンドトラック,牡3,56,松山,01:39.4,1月2日,4,8.4,38,7月7日,美浦尾関,506(-4)
4,1,2,ハイエストエンド,牡3,56,田辺,01:39.5,クビ,1,3.6,38.6,2月2日,美浦小西,496(-4)
5,3,5,リヴィエラボーイ,牡3,56,幸,01:39.9,2.1/2,8,24.3,38.7,5月5日,美浦松山,454(-2)
6,5,9,ディンブラ,牝3,53,☆野中,01:39.9,クビ,2,3.6,38.9,2月2日,美浦上原,474(-4)
7,2,3,リンガスウォリアー,牡3,56,北村宏,01:40.3,2.1/2,9,30.4,38.2,13-14,美浦中舘,474(-2)
8,7,14,サンダーボマー,牡3,56,北村友,01:40.3,クビ,7,23.6,38.7,9月8日,美浦土田,428(+8)
9,8,15,アベックフォルス,牡3,56,Ｍデム,01:40.8,3,3,6.2,39.8,4月2日,美浦加藤士,494(+4)
10,4,8,マイネルグランサム,牡3,56,フォー,01:40.8,クビ,14,181.3,38.9,12月11日,美浦奥村武,446(-4)
11,7,13,マイネルエスペルト,牡3,56,津村,01:41.1,1.3/4,13,45.5,39.5,9月8日,美浦水野,498(0)
12,4,7,キタノコドウ,牡3,56,江田照,01:41.4,1.3/4,12,41.6,38.6,16-16,美浦高木,472(+14)
13,6,11,エクセルマジック,牡3,54,△木幡育,01:41.5,3月4日,15,228.6,39.5,13-13,美浦深山,460(-4)
14,5,10,ナンナ,牝3,54,内田博,01:42.2,4,11,41.4,39.7,15-15,美浦国枝,482(+4)
15,1,1,ケンシ,牡3,56,木幡巧,01:42.5,2,16,252.5,40.9,5月8日,美浦黒岩,462(+8)
16,3,6,ガニアン,牡3,56,ミナリ,01:42.9,2.1/2,10,36.8,41,9月11日,美浦田村,464(+2)
1,1,2,リスペクト,牡3,56,ルメー,02:28.8,,1,1.6,35,5-5-5-5,美浦奥村武,470(+2)
2,8,16,プモリテソーロ,牡3,56,大野,02:29.0,1,2,4.5,35.5,5-5-2-1,美浦田中博,484(0)
3,8,15,コスモレペティール,牝3,54,津村,02:29.2,1.1/2,8,72.5,35.6,3-3-4-4,美浦萱野,430(-2)
4,6,11,パーディシャー,牡3,56,福永,02:29.3,1月2日,4,13.4,35.4,10-8-7-7,美浦久保田,416(-12)
5,4,8,レイコックアビー,牡3,56,和田,02:29.5,1.1/4,3,6.7,35.5,10-8-7-8,美浦大竹,496(+16)
6,2,4,アイゼングラフ,セ3,56,江田照,02:29.7,1.1/4,7,47.5,35.4,15-15-14-10,美浦金成,436(-6)
7,2,3,スキルショット,牡3,56,松山,02:29.7,クビ,6,25.1,36.2,1-1-1-2,美浦加藤士,484(+4)
8,1,1,インディードシチー,牡3,56,幸,02:29.8,クビ,9,75.6,35.1,16-16-16-14,美浦上原,494(-8)
9,5,10,リチュアルダンス,牡3,56,田辺,02:29.9,1月2日,5,13.7,35.6,10-12-10-10,美浦尾関,498(-2)
10,3,5,ワイルドフレーズ,牡3,56,内田博,02:30.1,1.1/4,10,84,35.9,8-8-10-10,美浦黒岩,474(-2)
11,4,7,ベルウッドアサヒ,牡3,56,吉田豊,02:30.2,1月2日,14,197.3,35.8,13-13-13-13,美浦武市,444(+4)
12,3,6,シゲルセイウン,牝3,54,柴田善,02:30.6,2.1/2,11,156.1,36.8,3-3-5-5,美浦石毛,406(0)
13,5,9,アトラクトボイス,牡3,56,木幡巧,02:30.7,3月4日,13,179.9,36.7,5-7-7-8,美浦土田,426(+2)
14,6,12,キングフェーヴル,牝3,53,☆野中,02:30.7,アタマ,12,173.1,37.2,2-2-2-2,美浦青木,436(-10)
15,7,13,プリティスラッガー,牝3,54,宮崎,02:32.9,大,16,344.9,38,8-8-12-15,美浦菊川,394(-10)
16,7,14,フォーチュネイト,牡3,56,田中勝,02:35.3,大,15,252.3,39.9,14-14-14-16,美浦松永康,460(-4)
1,1,1,オーロラフラッシュ,牝3,54,ルメー,01:35.2,,2,2.8,33.6,2月3日,美浦藤沢和,448(+6)
2,5,5,アオイクレアトール,牡3,56,武豊,01:35.2,クビ,1,2.1,33.8,1月1日,美浦古賀慎,466(-8)
3,3,3,レッドライデン,牡3,56,田中勝,01:35.8,3.1/2,5,11,33.8,7月7日,美浦鹿戸,480(-4)
4,6,6,エンジェルサークル,牝3,54,田辺,01:36.2,2.1/2,3,5.9,34.1,8月8日,美浦中川,440(-2)
5,8,10,ハローキャンディ,牝3,54,繁田健,01:36.5,2,7,56.3,34.9,2月3日,美浦久保田,422(-12)
6,7,7,グレイトホーン,牡3,56,丸山,01:36.6,クビ,4,10.4,34.7,5月5日,美浦根本,486(+14)
7,4,4,アドマイヤアリエル,牝3,54,福永,01:36.9,1.3/4,6,22.6,35.4,2月2日,美浦加藤征,430(+2)
8,7,8,ナーリー,牡3,56,佐藤友,01:37.3,2.1/2,8,211.4,35,8月9日,地方井上孝,462(0)
9,2,2,グランドホース,牡3,53,▲三津谷,01:38.1,5,9,256,35.4,10月10日,美浦伊藤伸,486(+4)
10,8,9,タイムカプセル,牡3,56,菅原隆,01:38.3,1.1/4,10,275.3,36.4,5月5日,美浦土田,440(-2)
1,8,11,スタンサンセイ,牡4,56,ルメー,02:13.4,,1,1.4,37.5,3-3-5-5,美浦高橋文,536(-10)
2,2,2,デストロイ,牡6,57,Ｍデム,02:13.7,1.3/4,4,11.5,38,5-5-3-2,美浦高橋裕,522(-2)
3,5,5,シャイニーロケット,牡5,55,△木幡育,02:14.1,2.1/2,11,177.6,37.6,8-8-9-9,美浦佐藤,470(+6)
4,1,1,トランスポーター,牡4,56,吉田豊,02:14.2,1月2日,2,6.7,38.5,3-3-3-2,美浦戸田,492(-2)
5,6,7,アイヅリュウコ,牡4,56,ミナリ,02:14.2,ハナ,9,90.4,38,6-6-6-6,美浦小笠,474(-6)
6,7,9,エグジットラック,牡6,57,江田照,02:14.5,2,3,7,37.8,10-10-10-10,美浦田村,518(-2)
7,4,4,ボヘミアラプソディ,牡4,56,大野,02:14.7,1.1/2,5,14.5,37.3,11-11-11-11,美浦伊藤圭,486(-2)
8,7,8,ロジポルカ,牡4,56,内田博,02:15.5,5,8,37.7,39.9,1-1-2-2,美浦菊沢,468(0)
9,6,6,ジェイケイエース,牡4,56,丸山,02:15.6,1月2日,6,17,39.4,9-9-8-6,美浦松永康,546(-2)
10,3,3,トゥービーシック,牝4,54,横山和,02:16.0,2.1/2,10,159.1,39.8,6-6-6-6,美浦古賀史,438(-4)
11,8,10,ユイノチョッパー,牡5,56,☆野中,02:16.3,1.3/4,7,37.3,40.9,2-2-1-1,美浦竹内,508(+16)
1,6,11,ミスマリア,牝4,54,ルメー,01:48.1,,1,1.7,34.4,2007/9/8,美浦栗田,460(+12)
2,7,14,カナロアガール,牝4,54,田辺,01:48.1,クビ,6,18.6,34,11-16-16,美浦田村,468(0)
3,4,7,ミトロジー,牡4,56,丸山,01:48.4,2,2,5.1,34.5,2011/12/13,美浦尾関,484(-2)
4,5,9,ペルソナデザイン,牡4,56,和田,01:48.5,1月2日,4,10.7,35,2003/5/4,美浦大竹,478(+2)
5,1,1,シャドウアイランド,牝5,55,Ｍデム,01:48.6,クビ,8,20.4,34.9,2011/12/8,美浦林,464(+6)
6,1,2,アグリューム,牝4,54,津村,01:48.8,1.1/4,3,8.9,35.1,2005/7/8,美浦武井,452(-4)
7,3,5,フィリアーノ,牡4,56,ミナリ,01:48.8,クビ,10,68.1,35.4,2007/5/4,美浦手塚,454(-4)
8,2,4,ラレゾン,牝6,55,大野,01:48.9,クビ,7,20.2,35.2,2011/9/8,美浦高木,440(+2)
9,3,6,オールステリーナ,牝5,55,武藤,01:49.1,1,15,365.3,35.3,11-15-13,美浦松山,468(+4)
10,2,3,グレンフィナン,セ5,57,福永,01:49.3,1.1/4,12,73.5,36.1,2003/2/2,美浦鹿戸,486(-2)
11,5,10,イサク,牡4,56,石橋脩,01:49.6,2,5,17.8,35.7,2011/12/13,美浦岩戸,480(+4)
12,6,12,コスモミローディア,牡4,55,☆野中,01:49.7,3月4日,13,151.6,36,2005/9/8,美浦清水英,454(-6)
13,8,15,モレッキ,セ6,57,フォー,01:49.8,1月2日,9,62.6,36.5,2007/2/2,美浦稲垣,494(+22)
14,4,8,クロムウェル,牡4,56,岩部,01:50.5,4,16,420.7,37.1,2001/2/4,美浦加藤和,444(+6)
15,8,16,タイセイシャトル,セ4,56,木幡巧,01:51.9,9,14,209.3,38.3,2010/7/7,美浦斎藤誠,474(-4)
16,7,13,エールグリーツ,牝5,55,北村友,01:53.2,8,11,71.6,40,2002/1/1,美浦林,440(+12)
1,4,4,グレンガリー,セ5,57,津村,02:00.8,,3,7.2,35.9,2001/1/1,美浦萩原,440(-2)
2,1,1,アーチキング,セ7,57,丸山,02:01.1,2,4,9.5,35.5,2002/3/2,美浦木村,524(+6)
3,7,7,コーカス,牡6,57,フォー,02:01.3,1.1/4,1,2,35.2,2006/5/6,栗東藤原英,518(+6)
4,5,5,ダイイチターミナル,牡6,57,江田照,02:01.5,1.1/4,8,74.2,35.2,2008/9/8,美浦大江原,476(-2)
5,7,8,ジャストアジゴロ,牡4,56,Ｍデム,02:01.6,クビ,2,2.8,35.7,2008/7/4,栗東安田翔,450(+6)
6,8,10,クラサーヴィツァ,牝4,54,秋山,02:01.8,1,5,11.1,36.3,2002/2/2,美浦武井,450(+6)
7,2,2,エニグマバリエート,牡8,57,吉田豊,02:02.1,1.3/4,7,61.1,35.8,2007/7/8,美浦戸田,494(0)
8,8,9,エフティスパークル,牡7,55,△木幡育,02:02.2,3月4日,6,34.5,36.3,2004/4/4,美浦鹿戸,464(-4)
9,3,3,タニノホウザン,牡6,57,武士沢,02:02.4,1.1/2,10,174,35.9,2010/10/10,美浦星野,472(0)
10,6,6,ヴァンベールシチー,セ6,57,佐藤友,02:02.5,3月4日,9,78.8,36.3,2005/5/6,美浦池上,422(+4)
1,3,3,カフェファラオ,牡3,56,Ｍデム,01:37.7,,1,2.1,35.2,12月8日,美浦堀,504(-2)
2,7,12,タガノビューティー,牡3,56,和田,01:37.9,1.1/4,2,3.1,34.9,14-13,栗東西園,506(-2)
3,6,10,ヤウガウ,牡3,56,ルメー,01:38.3,2.1/2,3,6,36,6月5日,栗東須貝,486(+6)
4,5,8,ロンゴノット,牡3,56,石橋脩,01:38.4,1月2日,5,17.5,36.4,3月2日,美浦高柳瑞,486(0)
5,6,9,ヘルシャフト,牡3,56,大野,01:38.7,2,6,18.4,36.1,6月8日,栗東野中,506(-6)
6,4,6,メイショウテンスイ,牡3,56,武豊,01:38.8,クビ,7,19.5,36.9,2月2日,栗東南井,510(+13)
7,3,4,ウルトラマリン,牝3,54,内田博,01:38.9,1月2日,14,244.7,37.1,1月1日,栗東今野,466(-4)
8,5,7,タイセイポリシー,牡3,56,津村,01:38.9,クビ,13,129.6,36.4,9月8日,美浦栗田,486(-2)
9,2,2,ダイメイコリーダ,牡3,56,田辺,01:39.0,1月2日,9,51.6,36.9,4月4日,栗東森田,490(+22)
10,8,13,レーヌブランシュ,牝3,54,松山,01:39.3,1.1/2,4,15.6,36.5,9月11日,栗東橋口,454(0)
11,1,1,ジェットマックス,牡3,56,佐藤友,01:39.3,ハナ,12,122.4,36.9,6月7日,栗東森,492(+2)
12,8,14,モリノブレイク,牡3,56,江田照,01:39.5,1.1/2,11,121.1,36.7,11月11日,美浦大江原,554(+4)
13,7,11,ナイルリバー,牡3,56,フォー,01:40.8,8,8,44.5,37.8,12月13日,栗東藤原英,542(-10)
14,4,5,キメラヴェリテ,牡3,57,福永,01:41.0,1.1/4,10,85.8,38.7,4月5日,栗東中竹,538(+13)
1,5,5,アトミックフォース,牡4,56,田辺,02:02.1,,3,7,33.7,2002/2/2,美浦武藤,482(+8)
2,2,2,ウインガナドル,牡6,57,津村,02:02.3,1.1/4,4,9.4,34.2,2001/1/1,美浦上原,470(0)
3,8,10,レッドサイオン,牡4,56,ルメー,02:02.5,1.1/4,2,3.5,33.7,2006/5/4,美浦藤沢和,456(-6)
4,7,7,ベイビーステップ,牡6,57,和田,02:02.6,3月4日,8,54.1,34.1,2004/4/2,美浦菊川,492(0)
5,6,6,ダイワダグラス,牡4,56,内田博,02:02.6,ハナ,6,10.9,33.7,2004/5/6,美浦鹿戸,498(-8)
6,4,4,ゴータイミング,牡4,56,武豊,02:02.7,3月4日,1,2.4,33.7,2007/7/7,栗東松永幹,454(+2)
7,8,9,リフトトゥヘヴン,牡6,57,横山和,02:03.1,2.1/2,10,151.7,34.4,2003/3/4,美浦加藤征,488(-2)
8,7,8,ハナズレジェンド,牡7,57,松山,02:03.3,1.1/4,5,10.2,34,2008/8/8,栗東矢作,458(-4)
9,1,1,スパイラルダイブ,牡6,57,フォー,02:03.6,1.3/4,7,12.4,34.3,2008/8/8,美浦古賀慎,444(+8)
10,3,3,スモークフリー,牡8,57,吉田豊,02:03.8,1.1/2,9,72.1,34.3,2010/10/10,美浦戸田,538(0)
1,6,12,モズアスコット,牡6,57,ルメー,01:35.2,,1,2.8,35.4,8月8日,栗東矢作,494(0)
2,8,15,ケイティブレイブ,牡7,57,長岡,01:35.6,2.1/2,16,142.6,35.6,9月9日,栗東杉山,524(+4)
3,5,9,サンライズノヴァ,牡6,57,松山,01:35.8,1.1/4,3,6.8,35.3,12月13日,栗東音無,534(+10)
4,8,16,ワンダーリーデル,牡7,57,横山典,01:35.8,ハナ,7,28,35.5,12月11日,栗東安田翔,530(0)
5,2,4,タイムフライヤー,牡5,57,フォー,01:36.1,1.3/4,10,30.3,37,3月3日,栗東松田,472(-2)
6,4,8,キングズガード,牡9,57,秋山,01:36.5,2.1/2,14,111.5,35.9,14-13,栗東寺島,470(-8)
6,6,11,モジアナフレイバー,牡5,57,繁田健,01:36.5,2.1/2,11,45.4,36,14-13,地方福永敏,516(-3)
8,5,10,ノンコノユメ,セ8,57,真島大,01:36.6,1月2日,8,29.1,36.3,11月11日,地方荒山勝,446(+3)
9,1,2,アルクトス,牡5,57,田辺,01:37.0,2.1/2,4,9,38.3,2月1日,美浦栗田,548(+8)
10,4,7,ヴェンジェンス,牡7,57,幸,01:37.0,アタマ,5,17,37.5,7月6日,栗東大根田,496(-4)
11,7,14,ミューチャリー,牡4,57,御神本,01:37.1,1月2日,15,112.9,36.4,14-16,地方矢野義,464(-1)
12,2,3,ワイドファラオ,牡4,57,福永,01:37.3,1.1/4,6,24.1,38.5,1月2日,栗東角居,500(-8)
13,1,1,ブルドッグボス,牡8,57,和田,01:38.3,6,13,110.3,38.9,6月4日,栗東加用,514(-18)
14,3,5,インティ,牡6,57,武豊,01:38.3,クビ,2,3,39,4月4日,栗東野中,514(-4)
15,7,13,デルマルーヴル,牡4,57,Ｍデム,01:38.6,1.3/4,9,29.1,38.4,9月10日,美浦戸田,494(0)
16,3,6,ミッキーワイルド,牡5,57,北村友,01:38.9,1.3/4,12,48.3,39.3,4月6日,栗東安田隆,508(-6)
1,2,4,コーラルプリンセス,牝6,55,丸山,01:24.2,,3,5.6,36,6月6日,美浦高橋裕,536(+4)
2,4,8,ドウドウキリシマ,牡4,57,松山,01:24.4,1.1/4,4,7.5,36.4,5月5日,栗東村山,474(-10)
3,2,3,スズカゴーディー,牡6,57,石橋脩,01:24.5,1月2日,10,27.6,36.4,7月6日,美浦伊藤圭,486(-2)
4,1,2,アスクジョーダン,セ8,57,福永,01:24.7,1,8,17.5,36.8,4月4日,栗東野中,496(-10)
5,5,9,エピックアン,牡5,57,田辺,01:24.7,クビ,2,5.4,36.2,11月11日,美浦大和田,506(0)
6,6,11,オールウェイズゼア,牡6,57,野中,01:24.9,1.1/4,12,51.8,36,14-14,美浦大江原,480(-6)
7,5,10,ニューモニュメント,牡4,57,和田,01:25.0,3月4日,5,8.1,36.4,12月12日,栗東小崎,488(+16)
8,3,6,オルクリスト,牡4,57,大野,01:25.0,クビ,6,12.2,36.3,12月12日,美浦杉浦,484(-8)
9,4,7,サンタナブルー,牡8,57,ミナリ,01:25.4,2.1/2,16,96,37.1,9月8日,美浦和田雄,482(-6)
10,7,13,ティアップサンダー,牡8,57,佐藤友,01:25.4,クビ,15,92.5,36.6,14-14,美浦奥平,494(+8)
11,1,1,ホノカ,牝6,55,江田照,01:25.5,3月4日,14,86.4,38.5,1月1日,美浦菊川,482(+8)
12,8,16,アイアムハヤスギル,牡4,57,横山典,01:25.8,1.3/4,1,3.8,38.3,2月2日,美浦奥平,482(0)
13,8,15,ニシノジャガーズ,牡5,57,岩部,01:26.7,5,9,23.1,36.5,16-16,美浦萱野,488(-6)
14,7,14,アポロチーター,牡4,57,木幡巧,01:26.8,クビ,7,17.1,39.1,2月3日,美浦岩戸,530(0)
15,6,12,クリップスプリンガ,牡6,57,津村,01:26.8,アタマ,11,31.6,38.4,7月9日,美浦岩戸,456(-2)
16,3,5,スーパーアキラ,牡5,57,北村友,01:26.8,アタマ,13,66.9,38.4,10月9日,美浦矢野,512(0)
